Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: huyehara_HMF
Folio Number:  9A1539300P01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,16565454.94751,0.00000,0.00000,0.00000,1.57960,1.57960
07/01/2020,16307856.49786,0.00000,0.00000,0.00000,1.10480,1.10480
06/30/2020,16129656.45160,-0.00011,0.00000,0.00000,1.75542,1.75542
06/29/2020,15851145.91352,-0.00010,252.63314,0.00000,2.51235,2.51235
06/26/2020,15454634.49651,0.00000,8281.80707,0.00000,-3.13268,-3.13268
06/25/2020,15954702.99981,0.00000,8281.80707,0.00000,1.50203,1.50203
06/24/2020,15718482.65836,0.00000,8281.80707,0.00000,-2.45303,-2.45303
06/23/2020,16113966.82933,0.00000,8281.80707,0.00000,-0.23711,-0.23711
06/22/2020,16152538.36638,0.00000,8029.17393,0.00000,3.03482,3.03482
06/19/2020,15676540.35141,0.00000,8029.17393,0.00000,0.59761,0.59761
06/18/2020,15583364.26735,0.00000,8029.17393,0.00000,1.04986,1.04986
06/17/2020,15421377.78513,0.00000,8029.17393,0.00000,-0.88804,-0.88804
06/16/2020,15559625.15287,0.00000,8029.17393,0.00000,2.55325,2.55325
06/15/2020,15172039.82859,0.00000,8029.17393,0.00000,2.52984,2.52984
06/12/2020,14797483.83419,0.00000,8029.17393,0.00000,2.11569,2.11569
06/11/2020,14498764.26599,0.00000,0.00000,0.00000,-7.94288,-7.94288
06/10/2020,15749748.64322,0.00000,0.00000,0.00000,-3.71777,-3.71777
06/09/2020,16357897.46975,0.00000,0.00000,0.00000,-0.85717,-0.85717
06/08/2020,16499324.04209,0.00000,0.00000,0.00000,0.85382,0.85382
06/05/2020,16359642.29665,0.00000,0.00000,0.00000,1.72681,1.72681
06/04/2020,16081937.14951,0.00000,0.00000,0.00000,-1.03988,-1.03988
06/03/2020,16250928.04825,0.00000,0.00000,0.00000,2.58066,2.58066
06/02/2020,15842096.74597,0.00000,0.00000,0.00000,-1.65307,-1.65307
06/01/2020,16108378.77349,0.00000,0.00000,0.00000,10.52291,10.52291
