Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: orangey17_OMF
Folio Number:  9A1539500901
Download Date:  04/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/29/2019,4715136.17402,-0.00018,0.00000,0.00000,0.52050,0.52050
03/28/2019,4689837.54955,0.00000,883.64609,0.00000,0.33809,0.33809
03/27/2019,4674032.15694,0.00000,883.64609,0.00000,-0.77203,-0.77203
03/26/2019,4710404.65144,0.00000,883.64609,0.00000,-0.00515,-0.00515
03/25/2019,4710647.10353,0.00000,883.64609,0.00000,0.39305,0.39305
03/22/2019,4692201.07643,0.00000,883.64609,0.00000,-2.33207,-2.33207
03/21/2019,4804260.36208,0.00000,883.64609,0.00000,0.96806,0.96806
03/20/2019,4758189.70543,0.00000,883.64609,0.00000,0.96111,0.96111
03/19/2019,4712885.25326,0.00000,883.64609,0.00000,0.17145,0.17145
03/18/2019,4704817.20851,0.00000,883.64609,0.00000,0.01853,0.01853
03/15/2019,4703945.61671,0.00000,883.64609,0.00000,0.14013,0.14013
03/14/2019,4697362.16433,-0.00038,883.64609,0.00000,-0.37755,-0.37755
03/13/2019,4714564.88139,0.00000,1486.32430,0.00000,0.59681,0.59681
03/12/2019,4686586.15156,0.00000,1486.32430,0.00000,0.09484,0.09484
03/11/2019,4682144.25271,-0.00049,1486.32430,0.00000,1.82224,1.82224
03/08/2019,4597897.96892,0.00000,1912.89637,0.00000,-0.11079,-0.11079
03/07/2019,4602999.83992,0.00000,1912.89637,0.00000,-1.32496,-1.32496
03/06/2019,4664832.25566,0.00000,1912.89637,0.00000,-0.00464,-0.00464
03/05/2019,4665048.60314,0.00000,1912.89637,0.00000,0.52971,0.52971
03/04/2019,4640457.54528,0.00000,1912.89637,0.00000,0.40846,0.40846
03/01/2019,4621572.41613,0.00000,1912.89637,0.00000,0.55164,0.55164
02/28/2019,4596207.57089,0.00000,1912.89637,0.00000,-0.82834,-0.82834
02/27/2019,4634613.85351,0.00000,1912.89637,0.00000,-0.11148,-0.11148
02/26/2019,4639788.35073,0.00000,1912.89637,0.00000,-0.01739,-0.01739
