Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: orangey17_OMF
Folio Number:  9A1539500901
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,5938254.31425,0.00000,0.00000,0.00000,0.45091,0.45091
07/01/2020,5911598.59407,-0.00027,0.00000,0.00000,1.03876,1.03876
06/30/2020,5850046.79080,0.00000,775.65154,0.00000,1.06632,1.06632
06/29/2020,5788316.46858,0.00006,775.65154,0.00000,0.71356,0.71356
06/26/2020,5745307.65307,0.00000,2768.33619,0.00000,-2.27285,-2.27285
06/25/2020,5878990.98648,0.00000,2768.33619,0.00000,1.10225,1.10225
06/24/2020,5814866.35232,0.00000,2768.33619,0.00000,-1.34687,-1.34687
06/23/2020,5894292.30567,0.00000,2768.33619,0.00000,0.85459,0.85459
06/22/2020,5844323.59940,0.00000,2768.33619,0.00000,0.92379,0.92379
06/19/2020,5790803.10919,0.00000,2768.33619,0.00000,0.11113,0.11113
06/18/2020,5784371.60564,0.00000,2768.33619,0.00000,0.82285,0.82285
06/17/2020,5737140.87166,0.00000,2768.33619,0.00000,0.35839,0.35839
06/16/2020,5716642.98184,0.00000,2768.33619,0.00000,1.04233,1.04233
06/15/2020,5657642.59721,0.00000,2768.33619,0.00000,0.63244,0.63244
06/12/2020,5622068.81631,0.00000,2768.33619,0.00000,0.54429,0.54429
06/11/2020,5594093.98539,-0.00043,293.71767,0.00000,-3.40953,-3.40953
06/10/2020,5789779.07089,0.00000,2084.23665,0.00000,0.30383,0.30383
06/09/2020,5772235.04729,0.00000,2084.23665,0.00000,0.62753,0.62753
06/08/2020,5736225.38755,0.00000,2084.23665,0.00000,0.87557,0.87557
06/05/2020,5686418.62514,0.00000,2084.23665,0.00000,1.07513,1.07513
06/04/2020,5625910.36497,0.00000,2084.23665,0.00000,-0.46203,-0.46203
06/03/2020,5652033.93543,0.00000,2084.23665,0.00000,0.30764,0.30764
06/02/2020,5634692.80342,-0.00056,2084.23665,0.00000,0.64727,0.64727
06/01/2020,5598266.33242,-0.00044,2260.03636,0.00000,0.55654,0.55654
