Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: rgarga_RMF
Folio Number:  9A1539600101
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,1760344.95205,0.00000,0.00000,0.00000,-1.83840,-1.83840
09/30/2019,1793313.20800,0.00001,0.00000,0.00000,-0.15014,-0.15014
09/27/2019,1796009.73107,0.00000,0.00000,0.00000,0.85589,0.85589
09/26/2019,1780768.35043,0.00000,0.00000,0.00000,-0.89455,-0.89455
09/25/2019,1796841.93310,0.00000,0.00000,0.00000,1.03889,1.03889
09/24/2019,1778366.60879,0.00000,0.00000,0.00000,-1.05095,-1.05095
09/23/2019,1797254.81680,0.00000,0.00000,0.00000,-0.46292,-0.46292
09/20/2019,1805613.36898,0.00000,0.00000,0.00000,-0.99332,-0.99332
09/19/2019,1823728.89237,0.00000,0.00000,0.00000,-0.62968,-0.62968
09/18/2019,1835285.25527,0.00000,0.00000,0.00000,-0.00109,-0.00109
09/17/2019,1835305.28236,0.00000,0.00000,0.00000,-0.48379,-0.48379
09/16/2019,1844227.46342,0.00000,0.00000,0.00000,-0.25659,-0.25659
09/13/2019,1848971.70096,0.00021,0.00000,0.00000,0.28046,0.28046
09/12/2019,1842864.71635,0.00000,935.92011,0.00000,-0.16677,-0.16677
09/11/2019,1845944.73891,0.00000,935.92011,0.00000,1.26724,1.26724
09/10/2019,1822833.16102,0.00000,935.92011,0.00000,1.66487,1.66487
09/09/2019,1792966.99518,0.00000,935.92011,0.00000,2.80837,2.80837
09/06/2019,1743963.72327,0.00000,935.92011,0.00000,-0.10532,-0.10532
09/05/2019,1745803.32601,0.00000,935.92011,0.00000,1.03024,1.03024
09/04/2019,1727991.25887,0.00000,935.92011,0.00000,1.44583,1.44583
09/03/2019,1703350.18457,0.00005,935.92011,0.00000,-0.70188,-0.70188
08/30/2019,1711560.39769,0.00000,4772.28435,0.00000,0.31853,0.31853
