Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: rgarga_RMF
Folio Number:  9A1539600101
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1300787.75491,0.00000,0.00000,0.00000,0.18774,0.18774
07/01/2020,1298350.23999,0.00000,0.00000,0.00000,-1.78390,-1.78390
06/30/2020,1321932.15054,-0.00005,0.00000,0.00000,0.82990,0.82990
06/29/2020,1310889.00353,0.00000,162.78324,0.00000,2.49774,2.49774
06/26/2020,1278940.30370,0.00000,162.78324,0.00000,-5.26554,-5.26554
06/25/2020,1350035.56177,0.00000,162.78324,0.00000,2.41746,2.41746
06/24/2020,1318165.49785,0.00000,162.78324,0.00000,-5.61298,-5.61298
06/23/2020,1396563.42977,0.00000,162.78324,0.00000,0.52411,0.52411
06/22/2020,1389281.24769,0.00000,162.78324,0.00000,-0.35105,-0.35105
06/19/2020,1394176.10824,0.00000,162.78324,0.00000,-1.98291,-1.98291
06/18/2020,1422383.88674,0.00000,162.78324,0.00000,0.62876,0.62876
06/17/2020,1413495.36371,0.00000,162.78324,0.00000,-2.98027,-2.98027
06/16/2020,1456920.30991,0.00000,162.78324,0.00000,2.48833,2.48833
06/15/2020,1421543.63321,0.00000,162.78324,0.00000,1.49328,1.49328
06/12/2020,1400625.87567,0.00000,162.78324,0.00000,5.29840,5.29840
06/11/2020,1330303.79689,0.00000,0.00000,0.00000,-10.22338,-10.22338
06/10/2020,1481793.15869,0.00000,0.00000,0.00000,-5.64240,-5.64240
06/09/2020,1570401.51637,0.00000,0.00000,0.00000,-6.80852,-6.80852
06/08/2020,1685134.19906,0.00000,0.00000,0.00000,9.00766,9.00766
06/05/2020,1545886.11065,0.00000,0.00000,0.00000,6.64876,6.64876
06/04/2020,1449511.56955,0.00000,0.00000,0.00000,5.16361,5.16361
06/03/2020,1378339.43239,0.00000,0.00000,0.00000,5.26950,5.26950
06/02/2020,1309343.62853,0.00000,0.00000,0.00000,1.14332,1.14332
06/01/2020,1294542.82291,-0.00015,0.00000,0.00000,3.40396,3.40396
