Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: kharden_KMF
Folio Number:  9A1540000T01
Download Date:  02/07/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/06/2020,3159535.37125,0.00000,0.00000,0.00000,0.31971,0.31971
02/05/2020,3149466.13755,0.00000,0.00000,0.00000,0.01590,0.01590
02/04/2020,3148965.46100,0.00000,0.00000,0.00000,2.76514,2.76514
02/03/2020,3064235.03949,-0.00020,0.00000,0.00000,1.76511,1.76511
01/31/2020,3011085.96482,0.00000,0.00000,0.00000,-0.67759,-0.67759
01/30/2020,3031628.00216,0.00000,0.00000,0.00000,0.50178,0.50178
01/29/2020,3016491.91569,0.00000,0.00000,0.00000,-0.70904,-0.70904
01/28/2020,3038032.76276,0.00000,0.00000,0.00000,1.48913,1.48913
01/27/2020,2993456.23733,0.00000,0.00000,0.00000,-2.39905,-2.39905
01/24/2020,3067036.09207,0.00000,0.00000,0.00000,-0.78377,-0.78377
01/23/2020,3091264.47003,0.00000,0.00000,0.00000,1.17059,1.17059
01/22/2020,3055497.24923,0.00000,0.00000,0.00000,-0.48433,-0.48433
01/21/2020,3070368.07555,0.00000,0.00000,0.00000,0.21559,0.21559
01/17/2020,3063762.89795,0.00000,0.00000,0.00000,0.10948,0.10948
01/16/2020,3060412.44134,0.00000,0.00000,0.00000,0.68169,0.68169
01/15/2020,3039691.24935,0.00064,0.00000,0.00000,-0.03481,-0.03481
01/14/2020,3038496.52521,0.00000,2253.22977,0.00000,0.38983,0.38983
01/13/2020,3026688.81649,0.00000,2253.22977,0.00000,1.10263,1.10263
01/10/2020,2993654.99562,0.00000,2253.22977,0.00000,-0.34511,-0.34511
01/09/2020,3004029.82973,0.00000,2253.22977,0.00000,0.07894,0.07894
01/08/2020,3001658.54426,0.00000,2253.22977,0.00000,0.78889,0.78889
01/07/2020,2978146.44672,0.00000,2253.22977,0.00000,-0.02866,-0.02866
01/06/2020,2979000.99758,0.00000,2253.22977,0.00000,0.80064,0.80064
