Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: kharden_KMF
Folio Number:  9A1540000T01
Download Date:  11/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/31/2019,2750841.92359,0.00000,0.00000,0.00000,-0.83296,-0.83296
10/30/2019,2773947.80312,0.00000,0.00000,0.00000,0.57865,0.57865
10/29/2019,2757988.77075,0.00000,0.00000,0.00000,-0.13014,-0.13014
10/28/2019,2761582.74143,0.00000,0.00000,0.00000,0.67626,0.67626
10/25/2019,2743032.77002,0.00000,0.00000,0.00000,1.37680,1.37680
10/24/2019,2705779.67762,0.00000,0.00000,0.00000,0.42159,0.42159
10/23/2019,2694420.17797,0.00000,0.00000,0.00000,0.24775,0.24775
10/22/2019,2687761.20659,0.00000,0.00000,0.00000,-0.21850,-0.21850
10/21/2019,2693646.80604,0.00000,0.00000,0.00000,1.00469,1.00469
10/18/2019,2666853.16378,0.00000,0.00000,0.00000,-1.25477,-1.25477
10/17/2019,2700741.37607,0.00000,0.00000,0.00000,0.87971,0.87971
10/16/2019,2677189.79716,0.00000,0.00000,0.00000,-0.15195,-0.15195
10/15/2019,2681263.91215,0.00053,0.00000,0.00000,1.96768,1.96768
10/14/2019,2627435.69648,0.00000,2087.72421,0.00000,-0.16796,-0.16796
10/11/2019,2631859.61072,0.00000,2087.72421,0.00000,1.09536,1.09536
10/10/2019,2603321.13290,0.00000,2087.72421,0.00000,1.18900,1.18900
10/09/2019,2572706.85746,0.00000,2087.72421,0.00000,0.61648,0.61648
10/08/2019,2556930.96085,0.00000,2087.72421,0.00000,-1.42911,-1.42911
10/07/2019,2594032.38689,0.00000,2087.72421,0.00000,0.08378,0.08378
10/04/2019,2591859.27604,0.00000,2087.72421,0.00000,1.07228,1.07228
10/03/2019,2564340.05267,0.00000,2087.72421,0.00000,0.57288,0.57288
10/02/2019,2549721.23589,0.00000,2087.72421,0.00000,-1.12238,-1.12238
10/01/2019,2578687.37173,0.00137,2087.72421,0.00000,-0.80821,-0.80821
09/30/2019,2598000.52208,0.00021,3802.47630,0.00000,0.08544,0.08544
