Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: kharden_KMF
Folio Number:  9A1540000T01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,3495312.19965,0.00000,0.00000,0.00000,0.99366,0.99366
07/01/2020,3460922.42161,0.00000,0.00000,0.00000,2.05388,2.05388
06/30/2020,3391269.75664,0.00125,0.00000,0.00000,2.49406,2.49406
06/29/2020,3304715.08182,0.00000,4032.39689,0.00000,1.33080,1.33080
06/26/2020,3261260.68092,-0.00024,4032.39689,0.00000,-2.60619,-2.60619
06/25/2020,3348479.91355,-0.00079,4190.18173,0.00000,1.71798,1.71798
06/24/2020,3290712.02499,0.00000,5332.69697,0.00000,-2.53113,-2.53113
06/23/2020,3376305.53845,0.00000,5332.69697,0.00000,0.05529,0.05529
06/22/2020,3374436.89355,0.00000,5332.69697,0.00000,1.67905,1.67905
06/19/2020,3318626.01850,0.00000,5332.69697,0.00000,-0.26115,-0.26115
06/18/2020,3329503.67259,0.00000,3158.18304,0.00000,0.31180,0.31180
06/17/2020,3319144.67300,0.00000,3158.18304,0.00000,0.53509,0.53509
06/16/2020,3301461.86160,0.00000,3158.18304,0.00000,1.33006,1.33006
06/15/2020,3258085.38617,0.00000,3158.18304,0.00000,1.43432,1.43432
06/12/2020,3211970.16220,0.00000,3158.18304,0.00000,0.36278,0.36278
06/11/2020,3200348.45437,0.00000,3158.18304,0.00000,-6.01065,-6.01065
06/10/2020,3405213.89680,0.00014,3158.18304,0.00000,0.79165,0.79165
06/09/2020,3376027.14627,0.00000,5574.41407,0.00000,0.14237,0.14237
06/08/2020,3372361.98780,0.00000,4431.89883,0.00000,1.96777,1.96777
06/05/2020,3308280.47303,0.00000,3348.30359,0.00000,2.36781,2.36781
06/04/2020,3231680.97224,0.00000,3348.30359,0.00000,-1.01323,-1.01323
06/03/2020,3264952.70547,0.00000,3190.51875,0.00000,0.72885,0.72885
06/02/2020,3241305.26889,0.00000,3190.51875,0.00000,1.20745,1.20745
06/01/2020,3202596.92407,0.00000,3190.51875,0.00000,1.27398,1.27398
