Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: kharden_HTFF
Folio Number:  9A1540000T02
Download Date:  03/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/15/2019,1140789.14572,0.00000,0.00000,0.00000,0.76374,0.76374
03/14/2019,1132142.47952,0.00000,0.00000,0.00000,-0.72149,-0.72149
03/13/2019,1140370.09678,0.00000,0.00000,0.00000,1.03562,1.03562
03/12/2019,1128681.22696,0.00000,0.00000,0.00000,0.17208,0.17208
03/11/2019,1126742.29659,0.00000,0.00000,0.00000,2.50079,2.50079
03/08/2019,1099252.28543,0.00000,0.00000,0.00000,-0.08931,-0.08931
03/07/2019,1100234.87915,0.00000,0.00000,0.00000,-1.56244,-1.56244
03/06/2019,1117698.19548,0.00000,0.00000,0.00000,-0.37710,-0.37710
03/05/2019,1121929.01421,-0.00026,0.00000,0.00000,0.10732,0.10732
03/04/2019,1120543.27248,0.00000,182.97594,0.00000,0.06482,0.06482
03/01/2019,1119817.29262,0.00000,182.97594,0.00000,0.17327,0.17327
02/28/2019,1117880.04396,0.00000,182.97594,0.00000,-0.06935,-0.06935
02/27/2019,1118655.92997,0.00000,182.97594,0.00000,-0.08315,-0.08315
02/26/2019,1119586.98567,0.00000,182.97594,0.00000,-0.21194,-0.21194
02/25/2019,1121965.31089,0.00000,182.97594,0.00000,0.47970,0.47970
02/22/2019,1116608.09209,0.00000,182.97594,0.00000,0.82077,0.82077
02/21/2019,1107516.41075,0.00000,182.97594,0.00000,-0.99035,-0.99035
02/20/2019,1118596.25154,0.00000,182.97594,0.00000,-0.53550,-0.53550
02/19/2019,1124619.57950,1654.85215,182.97594,0.00000,0.74011,0.74011
02/15/2019,1114707.17567,0.00000,182.97594,0.00000,0.25118,0.25118
02/14/2019,1111913.80606,0.00000,182.97594,0.00000,0.13949,0.13949
02/13/2019,1110547.69273,0.00000,0.00000,0.00000,-0.00753,-0.00753
02/12/2019,1110631.29463,0.00000,0.00000,0.00000,1.76781,1.76781
02/11/2019,1091338.45501,0.00000,0.00000,0.00000,-0.14048,-0.14048
02/08/2019,1092873.76955,0.00000,0.00000,0.00000,0.00601,0.00601
02/07/2019,1092808.13447,0.00000,0.00000,0.00000,-1.95534,-1.95534
02/06/2019,1114602.39621,0.00000,0.00000,0.00000,-0.48404,-0.48404
02/05/2019,1120023.73216,0.00000,0.00000,0.00000,0.97913,0.97913
02/04/2019,1109163.61195,0.00013,0.00000,0.00000,1.43362,1.43362
02/01/2019,1093001.52612,0.00000,485.64983,0.00000,-0.14067,-0.14067
01/31/2019,1094541.92304,0.00000,485.64983,0.00000,1.60701,1.60701
01/30/2019,1077223.04779,0.00000,485.64983,0.00000,3.11636,3.11636
01/29/2019,1044652.81120,0.00000,485.64983,0.00000,-1.13919,-1.13919
01/28/2019,1056696.07077,0.00000,485.64983,0.00000,-1.81042,-1.81042
01/25/2019,1076188.42382,0.00000,485.64983,0.00000,1.66666,1.66666
01/24/2019,1058538.11974,0.00000,485.64983,0.00000,1.17621,1.17621
01/23/2019,1046712.19134,0.00000,0.00000,0.00000,-0.48990,-0.48990
01/22/2019,1051865.22933,0.00000,0.00000,0.00000,-2.43648,-2.43648
01/18/2019,1078133.73999,0.00000,0.00000,0.00000,-0.51665,-0.51665
01/17/2019,1083732.88659,0.00000,0.00000,0.00000,0.57275,0.57275
01/16/2019,1077561.18089,0.00000,0.00000,0.00000,-0.18656,-0.18656
01/15/2019,1079575.22345,0.00000,0.00000,0.00000,2.12023,2.12023
01/14/2019,1057161.00027,0.00000,0.00000,0.00000,-0.87341,-0.87341
01/11/2019,1066475.73684,0.00000,0.00000,0.00000,0.40244,0.40244
01/10/2019,1062201.01827,0.00000,0.00000,0.00000,0.43095,0.43095
01/09/2019,1057643.06856,0.00000,0.00000,0.00000,0.98729,0.98729
01/08/2019,1047303.10270,0.00000,0.00000,0.00000,0.91853,0.91853
01/07/2019,1037770.81870,0.00000,0.00000,0.00000,2.67605,2.67605
01/04/2019,1010723.35817,0.00000,0.00000,0.00000,5.21238,5.21238
01/03/2019,960650.63070,0.00000,0.00000,0.00000,-2.57428,-2.57428
01/02/2019,986033.93051,0.00000,0.00000,0.00000,0.24632,0.24632
12/31/2018,983611.10442,-0.00002,0.00000,0.00000,0.89582,0.89582
12/28/2018,974636.45068,-0.00018,241.46963,0.00000,0.50436,0.50436
12/27/2018,968888.91858,0.00000,1096.81872,0.00000,-0.04449,-0.04449
12/26/2018,969320.62561,0.00000,1096.81872,0.00000,7.01308,7.01308
12/24/2018,905724.52128,0.01005,1096.81872,0.00000,-2.66794,-2.66794
12/21/2018,930581.10728,-0.00060,1096.81872,0.00000,-3.41220,-3.41220
12/20/2018,963426.76823,0.00000,1164.93557,0.00000,-2.05407,-2.05407
12/19/2018,983655.65347,0.00000,1164.93557,0.00000,-2.45163,-2.45163
12/18/2018,1008406.66415,0.00000,1164.93557,0.00000,0.34195,0.34195
12/17/2018,1005821.53587,0.00000,309.58648,0.00000,-2.79286,-2.79286
12/14/2018,1034728.74559,0.00000,309.58648,0.00000,-2.13167,-2.13167
12/13/2018,1057272.90364,0.00000,309.58648,0.00000,0.30392,0.30392
12/12/2018,1054068.46123,0.00000,309.58648,0.00000,1.45566,1.45566
12/11/2018,1038940.48654,0.00000,309.58648,0.00000,0.06333,0.06333
12/10/2018,1038282.76190,0.00000,309.58648,0.00000,0.91326,0.91326
12/07/2018,1028883.52579,0.00000,309.58648,0.00000,-2.74887,-2.74887
12/06/2018,1057974.36300,0.00000,309.58648,0.00000,0.42710,0.42710
12/05/2018,1053473.66887,0.00000,309.58648,0.00000,0.00000,0.00000
12/04/2018,1053473.66887,0.00052,309.58648,0.00000,-3.99935,-3.99935
12/03/2018,1097191.26480,0.00000,492.23307,0.00000,2.06535,2.06535
11/30/2018,1074979.06169,0.00000,492.23307,0.00000,0.83992,0.83992
11/29/2018,1066021.18274,0.00000,492.23307,0.00000,-0.11491,-0.11491
11/28/2018,1067557.75258,0.00000,182.64659,0.00000,2.83557,2.83557
11/27/2018,1038116.03574,0.00000,182.64659,0.00000,0.29547,0.29547
11/26/2018,1035057.18169,0.00000,182.64659,0.00000,3.21116,3.21116
11/23/2018,1002848.21111,0.00000,182.64659,0.00000,-1.21212,-1.21212
11/21/2018,1015155.32205,0.00000,182.64659,0.00000,0.42511,0.42511
11/20/2018,1010857.29527,0.00000,182.64659,0.00000,-1.17513,-1.17513
11/19/2018,1022879.60768,1621.43738,182.64659,0.00000,-3.70476,-3.70476
11/16/2018,1060587.14465,0.00000,182.64659,0.00000,-2.17771,-2.17771
11/15/2018,1084201.87774,0.00000,182.64659,0.00000,1.52436,1.52436
11/14/2018,1068102.78317,0.00000,0.00000,0.00000,-0.44332,-0.44332
11/13/2018,1072858.92886,0.00000,0.00000,0.00000,0.62747,0.62747
11/12/2018,1066169.05158,0.00000,0.00000,0.00000,-3.24279,-3.24279
11/09/2018,1101901.38452,0.00000,0.00000,0.00000,-1.31343,-1.31343
11/08/2018,1116566.71964,0.00000,0.00000,0.00000,-0.69856,-0.69856
11/07/2018,1124421.47152,0.00000,0.00000,0.00000,2.85564,2.85564
11/06/2018,1093203.46170,0.00000,0.00000,0.00000,0.85908,0.85908
11/05/2018,1083891.98189,0.00000,0.00000,0.00000,-0.33572,-0.33572
11/02/2018,1087543.13556,0.00000,0.00000,0.00000,-1.22380,-1.22380
11/01/2018,1101017.33352,-0.00003,0.00000,0.00000,2.55877,2.55877
10/31/2018,1073065.28380,0.00000,482.40827,0.00000,3.28824,3.28824
10/30/2018,1038888.23699,0.00000,482.40827,0.00000,1.65525,1.65525
10/29/2018,1021964.17369,0.00000,482.40827,0.00000,-3.36523,-3.36523
10/26/2018,1057570.04915,0.00000,482.40827,0.00000,-2.83704,-2.83704
10/25/2018,1088463.85721,0.00000,482.40827,0.00000,3.89380,3.89380
10/24/2018,1047651.64784,0.00000,482.40827,0.00000,-5.36025,-5.36025
10/23/2018,1107016.38908,0.00000,482.40827,0.00000,-0.14724,-0.14724
10/22/2018,1109131.84881,0.00000,0.00000,0.00000,0.07882,0.07882
10/19/2018,1108258.29919,0.00000,0.00000,0.00000,-0.78454,-0.78454
10/18/2018,1117021.82027,0.00000,0.00000,0.00000,-2.73697,-2.73697
10/17/2018,1148454.68353,0.00000,0.00000,0.00000,0.64218,0.64218
10/16/2018,1141126.55804,0.00000,0.00000,0.00000,2.97416,2.97416
10/15/2018,1108167.89155,0.00000,0.00000,0.00000,-1.38192,-1.38192
10/12/2018,1123696.46223,0.00000,0.00000,0.00000,3.06288,3.06288
10/11/2018,1090301.85463,0.00000,0.00000,0.00000,-1.66118,-1.66118
10/10/2018,1108719.71296,0.00000,0.00000,0.00000,-4.90817,-4.90817
10/09/2018,1165946.35157,0.00000,0.00000,0.00000,0.45461,0.45461
10/08/2018,1160669.80043,0.00000,0.00000,0.00000,-1.11988,-1.11988
10/05/2018,1173815.16846,0.00000,0.00000,0.00000,-1.76244,-1.76244
10/04/2018,1194874.16791,0.00000,0.00000,0.00000,-2.29937,-2.29937
10/03/2018,1222995.29749,0.00000,0.00000,0.00000,-0.01361,-0.01361
10/02/2018,1223161.83065,0.00000,0.00000,0.00000,-1.05081,-1.05081
10/01/2018,1236151.45541,0.00000,0.00000,0.00000,1.71617,1.71617
09/28/2018,1215294.96699,-0.00097,0.00000,0.00000,-0.72021,-0.72021
09/27/2018,1223309.44053,0.00000,801.70526,0.00000,0.65173,0.65173
09/26/2018,1215383.23181,0.00000,801.70526,0.00000,0.35164,0.35164
09/25/2018,1211121.58315,0.00000,801.70526,0.00000,0.33699,0.33699
09/24/2018,1207051.19644,0.00000,801.70526,0.00000,0.52316,0.52316
09/21/2018,1200765.09957,0.00082,801.70526,0.00000,-0.42328,-0.42328
09/20/2018,1205808.88969,0.00000,865.53838,0.00000,0.61914,0.61914
09/19/2018,1198383.80947,0.00000,865.53838,0.00000,0.59805,0.59805
09/18/2018,1191254.38568,0.00000,865.53838,0.00000,0.93046,0.93046
09/17/2018,1180825.30933,0.00000,304.66336,0.00000,-1.45559,-1.45559
09/14/2018,1198271.64780,0.00000,304.66336,0.00000,0.00989,0.00989
09/13/2018,1198153.15774,0.00000,304.66336,0.00000,0.35338,0.35338
09/12/2018,1193932.91064,0.00000,304.66336,0.00000,0.58225,0.58225
09/11/2018,1187019.72437,0.00000,304.66336,0.00000,0.45966,0.45966
09/10/2018,1181586.99020,0.00000,304.66336,0.00000,0.66905,0.66905
09/07/2018,1173732.07924,0.00000,304.66336,0.00000,0.07742,0.07742
09/06/2018,1172823.79112,0.00000,304.66336,0.00000,-0.81114,-0.81114
09/05/2018,1182417.27323,0.00000,304.66336,0.00000,-2.06771,-2.06771
09/04/2018,1207388.85193,-0.00799,304.66336,0.00000,-0.60941,-0.60941
08/31/2018,1214793.82666,0.00000,304.66336,0.00000,-0.18208,-0.18208
08/30/2018,1217010.26074,0.00000,304.66336,0.00000,-0.07495,-0.07495
08/29/2018,1218164.11686,0.00000,63.83312,0.00000,0.69216,0.69216
08/28/2018,1209853.79473,0.00000,0.00000,0.00000,-0.33522,-0.33522
08/27/2018,1213923.05919,0.00000,0.00000,0.00000,1.15496,1.15496
08/24/2018,1200062.85028,0.00000,0.00000,0.00000,1.57604,1.57604
08/23/2018,1181442.82231,0.00000,0.00000,0.00000,-0.35021,-0.35021
08/22/2018,1185594.90424,0.00000,0.00000,0.00000,0.89787,0.89787
08/21/2018,1175044.48803,1178826.99819,0.00000,0.00000,-0.32087,-0.32087
08/20/2018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
