Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: rmeyers_BSMF
Folio Number:  9A1540100L01
Download Date:  05/20/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/17/2019,4607540.66377,0.00000,0.00000,0.00000,-0.84241,-0.84241
05/16/2019,4646684.99930,-0.00057,0.00000,0.00000,0.71629,0.71629
05/15/2019,4611086.15018,0.00024,2551.69154,0.00000,0.33044,0.33044
05/14/2019,4595188.21007,0.00000,3254.54232,0.00000,1.20352,1.20352
05/13/2019,4540502.99749,0.00000,3254.54232,0.00000,-3.35338,-3.35338
05/10/2019,4698159.06721,0.00000,3254.54232,0.00000,0.06402,0.06402
05/09/2019,4697702.91682,0.00000,702.85078,0.00000,-0.35070,-0.35070
05/08/2019,4714238.09098,0.00048,702.85078,0.00000,0.10253,0.10253
05/07/2019,4708845.20724,0.00000,1266.22782,0.00000,-2.18541,-2.18541
05/06/2019,4814080.34929,0.00000,1266.22782,0.00000,-0.81728,-0.81728
05/03/2019,4853759.66184,0.00000,1266.22782,0.00000,0.78740,0.78740
05/02/2019,4815829.96139,0.00000,1266.22782,0.00000,0.26461,0.26461
05/01/2019,4803117.23385,-0.00025,1266.22782,0.00000,-0.21795,-0.21795
04/30/2019,4813028.77843,0.00069,1848.69719,0.00000,0.25512,0.25512
04/29/2019,4799216.40771,0.00000,3408.39548,0.00000,0.13139,0.13139
04/26/2019,4792914.28039,0.00060,3408.39548,0.00000,-0.61944,-0.61944
04/25/2019,4821861.07436,0.00000,4357.04056,0.00000,-0.99387,-0.99387
04/24/2019,4870308.73298,-0.00017,4357.04056,0.00000,-0.15994,-0.15994
04/23/2019,4876231.04289,0.00000,6243.54844,0.00000,0.63467,0.63467
04/22/2019,4846002.22387,0.00017,5680.17140,0.00000,-0.09188,-0.09188
04/18/2019,4849459.10626,0.00000,6684.87147,0.00000,0.00837,0.00837
04/17/2019,4849052.52824,0.00000,6684.87147,0.00000,-0.01638,-0.01638
04/16/2019,4850551.02628,0.00000,5982.02069,0.00000,0.56227,0.56227
