Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: rmeyers_BSMF
Folio Number:  9A1540100L01
Download Date:  03/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/15/2019,4651300.27951,0.00033,0.00000,0.00000,0.57285,0.57285
03/14/2019,4623781.08034,0.00000,1025.92939,0.00000,-0.13858,-0.13858
03/13/2019,4630198.81253,0.00000,1025.92939,0.00000,0.73508,0.73508
03/12/2019,4596404.18824,0.00031,1025.92939,0.00000,-0.15568,-0.15568
03/11/2019,4602255.29083,0.00037,2343.47886,0.00000,1.90863,1.90863
03/08/2019,4514891.50798,0.00038,3468.64773,0.00000,0.07270,0.07270
03/07/2019,4511335.95013,0.00000,3741.88359,0.00000,-0.66180,-0.66180
03/06/2019,4541416.01591,0.00000,3741.88359,0.00000,-0.71684,-0.71684
03/05/2019,4574232.63807,0.00000,3741.88359,0.00000,-0.23365,-0.23365
03/04/2019,4584954.35425,0.00000,3741.88359,0.00000,-0.32816,-0.32816
03/01/2019,4600062.27377,-0.00127,3741.88359,0.00000,-0.09761,-0.09761
02/28/2019,4602530.07988,0.00003,5772.44425,0.00000,-0.27951,-0.27951
02/27/2019,4615365.16386,0.00000,5854.15529,0.00000,0.62312,0.62312
02/26/2019,4587664.78808,0.00000,4937.05224,0.00000,-0.17883,-0.17883
02/25/2019,4595892.37717,-0.00363,4937.05224,0.00000,0.24277,0.24277
02/22/2019,4585637.13639,0.00000,4050.00058,0.00000,1.14087,1.14087
02/21/2019,4533865.28526,0.00000,4050.00058,0.00000,-0.65444,-0.65444
02/20/2019,4564140.79180,0.00020,3667.93838,0.00000,0.44558,0.44558
02/19/2019,4543045.12437,0.00000,4500.44510,0.00000,0.17324,0.17324
02/15/2019,4535180.78072,0.00028,4500.44510,0.00000,1.25874,1.25874
02/14/2019,4477891.79185,0.00030,5356.82594,0.00000,-0.12015,-0.12015
02/13/2019,4481826.62093,0.00000,6815.19482,0.00000,0.27762,0.27762
02/12/2019,4469399.58524,0.00000,6815.19482,0.00000,1.19607,1.19607
