Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: dwoloch_DMF
Folio Number:  9A1540200D01
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,459755.66228,0.00000,0.00000,0.00000,-0.61118,-0.61118
09/30/2019,462582.89667,0.00000,0.00000,0.00000,-0.09430,-0.09430
09/27/2019,463019.51446,-0.00001,0.00000,0.00000,-0.76075,-0.76075
09/26/2019,466390.35822,0.00000,178.55645,0.00000,-0.80711,-0.80711
09/25/2019,470186.72378,0.00000,178.55645,0.00000,1.16653,1.16653
09/24/2019,464763.06131,0.00000,178.55645,0.00000,-2.12316,-2.12316
09/23/2019,474848.64905,0.00000,178.55645,0.00000,-0.30180,-0.30180
09/20/2019,476286.61750,0.00000,178.55645,0.00000,0.63409,0.63409
09/19/2019,473463.00846,0.00000,0.00000,0.00000,0.10369,0.10369
09/18/2019,472972.56113,0.00009,0.00000,0.00000,-0.56313,-0.56313
09/17/2019,475544.41938,0.00000,106.67273,0.00000,-0.16784,-0.16784
09/16/2019,476344.07639,0.00000,106.67273,0.00000,0.12969,0.12969
09/13/2019,475726.97380,0.00000,106.67273,0.00000,0.12666,0.12666
09/12/2019,475125.05328,0.00000,106.67273,0.00000,-0.54426,-0.54426
09/11/2019,477725.68455,0.00000,106.67273,0.00000,2.29666,2.29666
09/10/2019,466997.87842,0.00000,106.67273,0.00000,1.09006,1.09006
09/09/2019,461961.06127,0.00000,106.67273,0.00000,1.39600,1.39600
09/06/2019,455599.41343,0.00000,106.67273,0.00000,0.99612,0.99612
09/05/2019,451104.79093,0.00000,106.67273,0.00000,1.48122,1.48122
09/04/2019,444518.89270,0.00000,106.67273,0.00000,1.41298,1.41298
09/03/2019,438323.96058,0.00000,106.67273,0.00000,-1.19886,-1.19886
08/30/2019,443643.88932,0.00000,106.67273,0.00000,0.54455,0.54455
