Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: dwoloch_DMF
Folio Number:  9A1540200D01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,563886.27263,-0.00009,0.00000,0.00000,0.63126,0.63126
07/01/2020,559631.34860,0.00000,717.64188,0.00000,0.54380,0.54380
06/30/2020,556600.67834,0.00000,717.64188,0.00000,0.03751,0.03751
06/29/2020,556391.67979,0.00000,717.64188,0.00000,2.19866,2.19866
06/26/2020,544406.26788,-0.00001,717.64188,0.00000,-1.69288,-1.69288
06/25/2020,553422.24249,0.00018,1088.88592,0.00000,1.05419,1.05419
06/24/2020,547183.59376,0.00000,1542.92306,0.00000,-3.26258,-3.26258
06/23/2020,565690.01673,0.00000,1542.92306,0.00000,0.90955,0.90955
06/22/2020,560577.25581,0.00000,1542.92306,0.00000,-0.35224,-0.35224
06/19/2020,562564.27560,0.00000,1542.92306,0.00000,-0.57483,-0.57483
06/18/2020,565825.70362,0.00000,1542.92306,0.00000,-0.00316,-0.00316
06/17/2020,565843.62073,0.00000,1542.92306,0.00000,-0.38107,-0.38107
06/16/2020,568014.05784,0.00000,1542.92306,0.00000,1.59366,1.59366
06/15/2020,559079.66177,0.00000,1542.92306,0.00000,0.89769,0.89769
06/12/2020,554091.77324,0.00044,1542.92306,0.00000,2.63133,2.63133
06/11/2020,540297.65961,0.00000,1091.29938,0.00000,-6.23893,-6.23893
06/10/2020,576322.08628,0.00000,1091.29938,0.00000,-1.78506,-1.78506
06/09/2020,587270.64612,0.00000,637.26224,0.00000,-2.21165,-2.21165
06/08/2020,600567.16026,0.00000,637.26224,0.00000,2.79176,2.79176
06/05/2020,584238.80533,0.00000,637.26224,0.00000,3.29209,3.29209
06/04/2020,565597.81663,0.00000,637.26224,0.00000,1.25604,1.25604
06/03/2020,558573.88610,0.00000,637.26224,0.00000,2.62866,2.62866
06/02/2020,544250.65520,0.00000,637.26224,0.00000,2.22009,2.22009
06/01/2020,532416.36365,0.00000,637.26224,0.00000,1.81418,1.81418
