Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: dwoloch_DXF
Folio Number:  9A1540200D02
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,900165.48432,0.00000,0.00000,0.00000,1.93419,1.93419
06/07/2019,883084.92311,0.00000,0.00000,0.00000,0.98951,0.98951
06/06/2019,874432.35322,0.00000,0.00000,0.00000,1.40838,1.40838
06/05/2019,862288.02873,0.00000,0.00000,0.00000,-1.04509,-1.04509
06/04/2019,871394.88984,0.00000,0.00000,0.00000,4.66777,4.66777
06/03/2019,832534.14714,0.00000,0.00000,0.00000,-1.66469,-1.66469
05/31/2019,846627.91553,0.00000,0.00000,0.00000,-1.78485,-1.78485
05/30/2019,862013.56273,0.00000,0.00000,0.00000,0.20230,0.20230
05/29/2019,860273.19696,0.00000,0.00000,0.00000,-1.06742,-1.06742
05/28/2019,869554.96982,0.00000,0.00000,0.00000,-1.03746,-1.03746
05/24/2019,878670.82192,0.00000,0.00000,0.00000,0.72909,0.72909
05/23/2019,872310.92231,0.00000,0.00000,0.00000,-3.06352,-3.06352
05/22/2019,899878.89262,0.00000,0.00000,0.00000,-1.46825,-1.46825
05/21/2019,913288.21841,0.00000,0.00000,0.00000,2.54937,2.54937
05/20/2019,890583.97232,0.00000,0.00000,0.00000,-3.15571,-3.15571
05/17/2019,919604.00591,0.00000,0.00000,0.00000,-2.40837,-2.40837
05/16/2019,942298.07480,0.00000,0.00000,0.00000,0.83719,0.83719
05/15/2019,934474.78825,0.00000,0.00000,0.00000,0.76546,0.76546
05/14/2019,927376.13598,0.00000,0.00000,0.00000,2.62171,2.62171
05/13/2019,903684.12225,0.00579,0.00000,0.00000,-4.50851,-4.50851
05/10/2019,946350.45242,0.00000,0.00000,0.00000,-0.72782,-0.72782
