Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: dwoloch_DXF
Folio Number:  9A1540200D02
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1316068.22373,0.00000,0.00000,0.00000,0.11698,0.11698
07/01/2020,1314530.47079,-0.00154,0.00000,0.00000,1.35898,1.35898
06/30/2020,1296905.79436,0.00000,0.00000,0.00000,0.87996,0.87996
06/29/2020,1285593.09705,0.00000,0.00000,0.00000,0.22560,0.22560
06/26/2020,1282699.33039,0.00000,0.00000,0.00000,-1.99121,-1.99121
06/25/2020,1308759.53518,0.00000,0.00000,0.00000,-0.39227,-0.39227
06/24/2020,1313913.59733,0.00000,0.00000,0.00000,-2.36703,-2.36703
06/23/2020,1345768.38864,0.00000,0.00000,0.00000,0.13609,0.13609
06/22/2020,1343939.39704,0.00000,0.00000,0.00000,-0.82112,-0.82112
06/19/2020,1355066.15506,0.00000,0.00000,0.00000,0.01726,0.01726
06/18/2020,1354832.25982,-0.00026,0.00000,0.00000,0.20053,0.20053
06/17/2020,1352120.80553,0.00000,0.00000,0.00000,-1.27210,-1.27210
06/16/2020,1369542.71017,0.00000,0.00000,0.00000,-0.66984,-0.66984
06/15/2020,1378778.36233,0.00000,0.00000,0.00000,0.55674,0.55674
06/12/2020,1371144.63285,0.00013,0.00000,0.00000,-0.44154,-0.44154
06/11/2020,1377225.57517,-0.00112,0.00000,0.00000,-4.79515,-4.79515
06/10/2020,1446591.76774,0.00000,0.00000,0.00000,-2.75534,-2.75534
06/09/2020,1487579.62987,0.00000,0.00000,0.00000,-4.41746,-4.41746
06/08/2020,1556329.80521,0.00000,0.00000,0.00000,8.38095,8.38095
06/05/2020,1435980.90812,-0.00037,0.00000,0.00000,3.26592,3.26592
06/04/2020,1390566.16367,-0.00020,0.00000,0.00000,6.24899,6.24899
06/03/2020,1308780.64339,0.00000,0.00000,0.00000,4.81664,4.81664
06/02/2020,1248638.22417,0.00000,0.00000,0.00000,0.46323,0.46323
06/01/2020,1242880.81804,0.00000,0.00000,0.00000,3.71024,3.71024
