Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gcheng_GMF
Folio Number:  9A1540300501
Download Date:  04/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/29/2019,626971.04040,0.00000,0.00000,0.00000,-2.37088,-2.37088
03/28/2019,642196.76504,0.00000,0.00000,0.00000,1.23002,1.23002
03/27/2019,634393.58116,0.00000,0.00000,0.00000,-3.71197,-3.71197
03/26/2019,658849.90137,0.00000,0.00000,0.00000,2.33536,2.33536
03/25/2019,643814.49829,0.00000,0.00000,0.00000,-3.10775,-3.10775
03/22/2019,664464.38733,0.00000,0.00000,0.00000,-2.89269,-2.89269
03/21/2019,684257.82936,0.00000,0.00000,0.00000,-0.08337,-0.08337
03/20/2019,684828.79404,0.00000,0.00000,0.00000,-0.58023,-0.58023
03/19/2019,688825.54676,0.00000,0.00000,0.00000,0.00000,0.00000
03/18/2019,688825.54676,0.00000,0.00000,0.00000,1.01876,1.01876
03/15/2019,681878.80989,0.00000,0.00000,0.00000,-4.94790,-4.94790
03/14/2019,717373.78046,0.00000,0.00000,0.00000,1.34435,1.34435
03/13/2019,707857.70256,0.00000,0.00000,0.00000,5.89362,5.89362
03/12/2019,668461.14005,0.00000,0.00000,0.00000,-1.95407,-1.95407
03/11/2019,681783.64911,0.00000,0.00000,0.00000,0.12578,0.12578
03/08/2019,680927.20210,0.00000,0.00000,0.00000,3.24650,3.24650
03/07/2019,659516.02682,0.00000,0.00000,0.00000,3.07873,3.07873
03/06/2019,639817.74557,0.00000,0.00000,0.00000,-3.84695,-3.84695
03/05/2019,665415.99512,0.00000,0.00000,0.00000,-1.90782,-1.90782
03/04/2019,678357.86107,0.00000,0.00000,0.00000,-5.43872,-5.43872
03/01/2019,717373.78046,0.00000,0.00000,0.00000,-1.30915,-1.30915
02/28/2019,726889.85836,0.00000,0.00000,0.00000,-2.22719,-2.22719
02/27/2019,743447.83391,0.00000,0.00000,0.00000,0.79994,0.79994
02/26/2019,737547.86561,0.00000,0.00000,0.00000,-2.17102,-2.17102
