Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gcheng_GMF
Folio Number:  9A1540300501
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,842034.40089,0.00000,0.00000,0.00000,-0.39399,-0.39399
07/01/2020,845365.02815,0.00000,0.00000,0.00000,1.31151,1.31151
06/30/2020,834421.53857,0.00000,0.00000,0.00000,-1.40551,-1.40551
06/29/2020,846316.63594,0.00000,0.00000,0.00000,14.26085,14.26085
06/26/2020,740688.17125,0.00000,0.00000,0.00000,-7.15688,-7.15688
06/25/2020,797784.63865,0.00000,0.00000,0.00000,25.62356,25.62356
06/24/2020,635059.70656,0.00000,0.00000,0.00000,-1.91077,-1.91077
06/23/2020,647430.60783,0.00000,0.00000,0.00000,-1.51986,-1.51986
06/22/2020,657422.48963,0.00000,0.00000,0.00000,7.21652,7.21652
06/19/2020,613172.72739,0.00000,0.00000,0.00000,-1.52822,-1.52822
06/18/2020,622688.80529,0.00000,0.00000,0.00000,0.84765,0.84765
06/17/2020,617454.96245,0.00000,0.00000,0.00000,-2.77214,-2.77214
06/16/2020,635059.70656,0.00000,0.00000,0.00000,1.75344,1.75344
06/15/2020,624116.21698,0.00000,0.00000,0.00000,-3.88361,-3.88361
06/12/2020,649333.82341,0.00000,0.00000,0.00000,1.18632,1.18632
06/11/2020,641720.96109,0.00000,0.00000,0.00000,-8.54406,-8.54406
06/10/2020,701672.25186,0.00000,0.00000,0.00000,-0.60659,-0.60659
06/09/2020,705954.48692,0.00000,0.00000,0.00000,-6.07707,-6.07707
06/08/2020,751631.66084,0.00000,0.00000,0.00000,9.57197,9.57197
06/05/2020,685970.72333,0.00000,0.00000,0.00000,-0.20765,-0.20765
06/04/2020,687398.13501,0.00000,0.00000,0.00000,4.78709,4.78709
06/03/2020,655995.07794,0.00000,0.00000,0.00000,0.36398,0.36398
06/02/2020,653616.05847,0.00000,0.00000,0.00000,-0.21791,-0.21791
06/01/2020,655043.47015,0.00000,0.00000,0.00000,1.17586,1.17586
