Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: rrurban_URB
Folio Number:  9A1543100901
Download Date:  10/23/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/22/2018,1602054.84225,0.00000,0.00000,0.00000,0.40911,0.40911
10/19/2018,1595527.31919,0.00000,0.00000,0.00000,0.54418,0.54418
10/18/2018,1586891.69571,0.00000,0.00000,0.00000,-1.94552,-1.94552
10/17/2018,1618377.60046,0.00000,0.00000,0.00000,-0.09716,-0.09716
10/16/2018,1619951.47916,0.00000,0.00000,0.00000,2.73194,2.73194
10/15/2018,1576872.23016,0.00000,0.00000,0.00000,0.34538,0.34538
10/12/2018,1571444.77640,0.00000,0.00000,0.00000,1.10492,1.10492
10/11/2018,1554271.37104,0.00000,0.00000,0.00000,-1.61579,-1.61579
10/10/2018,1579797.62697,0.00000,0.00000,0.00000,-2.50593,-2.50593
10/09/2018,1620403.81199,0.00000,0.00000,0.00000,1.95592,1.95592
10/08/2018,1589318.00442,0.00000,0.00000,0.00000,0.15001,0.15001
10/05/2018,1586937.46912,0.00000,0.00000,0.00000,-0.85979,-0.85979
10/04/2018,1600700.13308,0.00000,0.00000,0.00000,-1.28976,-1.28976
10/03/2018,1621615.08227,0.00000,0.00000,0.00000,-0.23783,-0.23783
10/02/2018,1625481.00203,0.00000,0.00000,0.00000,-0.11206,-0.11206
10/01/2018,1627304.54946,0.00000,0.00000,0.00000,-0.20658,-0.20658
09/28/2018,1630673.12685,0.00000,0.00000,0.00000,0.34842,0.34842
09/27/2018,1625011.31894,0.00000,0.00000,0.00000,0.31919,0.31919
09/26/2018,1619840.93162,0.00000,0.00000,0.00000,-0.14681,-0.14681
09/25/2018,1622222.49690,0.00055,0.00000,0.00000,-0.81248,-0.81248
09/24/2018,1635510.66578,0.00000,0.00000,0.00000,-0.51614,-0.51614
09/21/2018,1643996.03483,0.00000,0.00000,0.00000,-1.67300,-1.67300
09/20/2018,1671968.11277,0.00000,0.00000,0.00000,0.30387,0.30387
09/19/2018,1666902.92907,0.00000,0.00000,0.00000,1.02355,1.02355
09/18/2018,1650014.21545,0.00000,0.00000,0.00000,0.71796,0.71796
09/17/2018,1638252.18488,0.00000,0.00000,0.00000,-0.54593,-0.54593
09/14/2018,1647245.00066,1647245.00066,0.00000,0.00000,0.00000,0.00000
