Client Name:  Marketocracy Capital Management, LLC,,,,,
Folio Name:  FOLIOfn: rrurban_URB,,,,,,
Folio Number:  9A1543100901,,,,,,
Download Date:  10/23/2018,,,,,,
,,,,,,
Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/22/2018,1602054.842,0,0,0,0.40911,0.40911
10/19/2018,1595527.319,0,0,0,0.54418,0.54418
10/18/2018,1586891.696,0,0,0,-1.94552,-1.94552
10/17/2018,1618377.6,0,0,0,-0.09716,-0.09716
10/16/2018,1619951.479,0,0,0,2.73194,2.73194
10/15/2018,1576872.23,0,0,0,0.34538,0.34538
10/12/2018,1571444.776,0,0,0,1.10492,1.10492
10/11/2018,1554271.371,0,0,0,-1.61579,-1.61579
10/10/2018,1579797.627,0,0,0,-2.50593,-2.50593
10/9/2018,1620403.812,0,0,0,1.95592,1.95592
10/8/2018,1589318.004,0,0,0,0.15001,0.15001
10/5/2018,1586937.469,0,0,0,-0.85979,-0.85979
10/4/2018,1600700.133,0,0,0,-1.28976,-1.28976
10/3/2018,1621615.082,0,0,0,-0.23783,-0.23783
10/2/2018,1625481.002,0,0,0,-0.11206,-0.11206
10/1/2018,1627304.549,0,0,0,-0.20658,-0.20658
9/28/2018,1630673.127,0,0,0,0.34842,0.34842
9/27/2018,1625011.319,0,0,0,0.31919,0.31919
9/26/2018,1619840.932,0,0,0,-0.14681,-0.14681
9/25/2018,1622222.497,0.00055,0,0,-0.81248,-0.81248
9/24/2018,1635510.666,0,0,0,-0.51614,-0.51614
9/21/2018,1643996.035,0,0,0,-1.673,-1.673
9/20/2018,1671968.113,0,0,0,0.30387,0.30387
9/19/2018,1666902.929,0,0,0,1.02355,1.02355
9/18/2018,1650014.215,0,0,0,0.71796,0.71796
9/17/2018,1638252.185,0,0,0,-0.54593,-0.54593
9/14/2018,1647245.001,1647245.001,0,0,0,0
,,,,,,
