Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: jbrumley71_SLO2
Folio Number:  9A1543200101
Download Date:  02/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2019,1984785.89788,0.00000,0.00000,0.00000,0.61921,0.61921
02/04/2019,1972571.47811,-0.00040,0.00000,0.00000,1.73784,1.73784
02/01/2019,1938876.92692,0.00015,0.00000,0.00000,0.55805,0.55805
01/31/2019,1927477.56064,0.00000,639.49864,0.00000,1.28590,1.28590
01/30/2019,1902998.75499,0.00000,639.49864,0.00000,0.81800,0.81800
01/29/2019,1887553.31353,0.00000,639.49864,0.00000,-0.42621,-0.42621
01/28/2019,1895635.49986,0.00000,639.49864,0.00000,-0.32929,-0.32929
01/25/2019,1901900.30283,0.00000,639.49864,0.00000,0.73059,0.73059
01/24/2019,1888101.31458,0.00003,639.49864,0.00000,0.92004,0.92004
01/23/2019,1870882.56218,0.00006,639.49864,0.00000,0.00802,0.00802
01/22/2019,1870083.52791,0.00000,1288.52644,0.00000,-1.31482,-1.31482
01/18/2019,1895016.58129,0.00000,1288.52644,0.00000,0.78830,0.78830
01/17/2019,1880184.86201,0.00007,1288.52644,0.00000,0.67070,0.67070
01/16/2019,1867869.96353,0.00000,1068.37517,0.00000,0.25279,0.25279
01/15/2019,1863157.46108,0.00004,1068.37517,0.00000,1.07365,1.07365
01/14/2019,1842122.30980,0.00000,2300.83508,0.00000,-0.30363,-0.30363
01/11/2019,1847739.58959,0.00000,2300.83508,0.00000,0.12748,0.12748
01/10/2019,1845384.22042,0.00000,2300.83508,0.00000,0.34948,0.34948
01/09/2019,1838949.33189,0.00000,2300.83508,0.00000,0.68567,0.68567
01/08/2019,1826410.43883,0.00000,2300.83508,0.00000,1.21204,1.21204
01/07/2019,1804511.14663,0.00000,2300.83508,0.00000,1.16004,1.16004
01/04/2019,1783791.67354,0.00000,2300.83508,0.00000,3.32135,3.32135
