Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: jbrumley71_SLO2
Folio Number:  9A1543200101
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1867323.08478,0.00000,0.00000,0.00000,0.27370,0.27370
07/01/2020,1862226.26371,0.00005,0.00000,0.00000,0.62984,0.62984
06/30/2020,1850111.08079,0.00042,459.57762,0.00000,1.89740,1.89740
06/29/2020,1815017.81945,0.00000,1093.92729,0.00000,1.39874,1.39874
06/26/2020,1789965.49582,0.00000,1093.92729,0.00000,-1.86818,-1.86818
06/25/2020,1824062.79709,0.00000,1093.92729,0.00000,0.69799,0.69799
06/24/2020,1811411.62757,0.00000,1093.92729,0.00000,-2.47053,-2.47053
06/23/2020,1857324.45010,0.00000,1093.92729,0.00000,-0.05601,-0.05601
06/22/2020,1858365.84368,0.00000,1093.92729,0.00000,0.34082,0.34082
06/19/2020,1852049.98151,0.00000,1093.92729,0.00000,0.68030,0.68030
06/18/2020,1839528.21350,0.00000,1093.92729,0.00000,0.28513,0.28513
06/17/2020,1834295.03033,0.00000,1093.92729,0.00000,-0.06325,-0.06325
06/16/2020,1835456.58841,0.00000,1093.92729,0.00000,1.11630,1.11630
06/15/2020,1815181.48012,0.00000,1093.92729,0.00000,1.41147,1.41147
06/12/2020,1789902.18428,0.00000,1093.92729,0.00000,1.18258,1.18258
06/11/2020,1769429.28114,0.00033,634.34967,0.00000,-4.60930,-4.60930
06/10/2020,1854664.33090,0.00000,929.20731,0.00000,-1.67473,-1.67473
06/09/2020,1886269.89386,0.00000,929.20731,0.00000,-1.13632,-1.13632
06/08/2020,1907960.93341,0.00005,929.20731,0.00000,2.57219,2.57219
06/05/2020,1859315.09694,0.00000,1705.96560,0.00000,1.33305,1.33305
06/04/2020,1834833.06123,0.00000,1705.96560,0.00000,-0.42706,-0.42706
06/03/2020,1842709.73094,0.00000,1705.96560,0.00000,0.77357,0.77357
06/02/2020,1828551.49761,-0.00077,1705.96560,0.00000,0.01975,0.01975
06/01/2020,1828035.55506,0.00000,1860.47616,0.00000,1.25423,1.25423
