Client Name:  Marketocracy Capital Management, LLC
Folio Name:  jbrumley71_BTMCP
Folio Number:  9A1543200102
Download Date:  01/02/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/31/2019,2570999.55859,-0.00058,0.00000,0.00000,0.36329,0.36329
12/30/2019,2561693.23245,0.00000,0.00000,0.00000,-0.32229,-0.32229
12/27/2019,2569976.06025,0.00000,0.00000,0.00000,-0.12550,-0.12550
12/26/2019,2573205.46585,0.00000,0.00000,0.00000,-0.23931,-0.23931
12/24/2019,2579378.19880,0.00000,0.00000,0.00000,0.03427,0.03427
12/23/2019,2578494.54571,0.00000,0.00000,0.00000,-0.11774,-0.11774
12/20/2019,2581534.05697,0.00000,0.00000,0.00000,0.13205,0.13205
12/19/2019,2578129.66343,0.00000,0.00000,0.00000,-0.01835,-0.01835
12/18/2019,2578602.89691,0.00000,0.00000,0.00000,0.21995,0.21995
12/17/2019,2572943.77150,0.00000,0.00000,0.00000,0.02573,0.02573
12/16/2019,2572281.94628,0.00000,0.00000,0.00000,0.87201,0.87201
12/13/2019,2550045.39874,0.00000,0.00000,0.00000,0.07841,0.07841
12/12/2019,2548047.39049,0.00000,0.00000,0.00000,-0.08750,-0.08750
12/11/2019,2550278.81873,0.00000,0.00000,0.00000,-0.59803,-0.59803
12/10/2019,2565621.91661,0.00000,0.00000,0.00000,-0.12795,-0.12795
12/09/2019,2568908.94208,0.00000,0.00000,0.00000,-0.26225,-0.26225
12/06/2019,2575663.50578,-0.00064,0.00000,0.00000,0.15808,0.15808
12/05/2019,2570626.10405,-0.00013,972.09346,0.00000,-0.19420,-0.19420
12/04/2019,2574927.81915,0.00000,1674.23178,0.00000,0.24956,0.24956
12/03/2019,2568513.77857,0.00000,1674.23178,0.00000,0.05371,0.05371
12/02/2019,2567134.10933,0.00000,1674.23178,0.00000,-0.45766,-0.45766
11/29/2019,2578944.48260,0.00000,1674.23178,0.00000,-0.27496,-0.27496
11/27/2019,2586059.60548,0.00000,1674.23178,0.00000,0.19683,0.19683
11/26/2019,2580976.18239,0.00000,1674.23178,0.00000,-0.22881,-0.22881
11/25/2019,2586899.11656,0.00000,1674.23178,0.00000,1.11201,1.11201
11/22/2019,2558430.47640,-0.00023,1674.23178,0.00000,0.33149,0.33149
11/21/2019,2548813.56592,0.00000,2832.66517,0.00000,-0.31277,-0.31277
11/20/2019,2556819.33994,0.00003,2832.66517,0.00000,0.13503,0.13503
11/19/2019,2552434.69545,0.00000,3765.55056,0.00000,0.44371,0.44371
11/18/2019,2541142.63189,1016.81927,3765.55056,0.00000,-0.02536,-0.02536
11/15/2019,2541473.40693,-1016.81865,3063.41224,0.00000,0.61929,0.61929
11/14/2019,2525809.11858,0.00000,4080.23089,0.00000,0.09512,0.09512
11/13/2019,2524377.10943,0.00000,3108.13743,0.00000,0.00270,0.00270
11/12/2019,2524308.83941,0.00000,3108.13743,0.00000,-0.02855,-0.02855
11/11/2019,2525030.55573,0.00000,3108.13743,0.00000,-0.00904,-0.00904
11/08/2019,2525259.24099,0.00000,3108.13743,0.00000,0.29085,0.29085
11/07/2019,2519085.14504,0.00000,1949.70404,0.00000,-0.41438,-0.41438
11/06/2019,2529575.16324,0.00000,1949.70404,0.00000,-0.11508,-0.11508
11/05/2019,2532491.71524,0.00000,1949.70404,0.00000,-0.27939,-0.27939
11/04/2019,2539592.55263,0.00000,1949.70404,0.00000,0.31655,0.31655
11/01/2019,2531572.66638,0.00000,1949.70404,0.00000,0.72386,0.72386
10/31/2019,2513365.19277,0.00000,1949.70404,0.00000,-0.14014,-0.14014
10/30/2019,2516895.08543,0.00000,1949.70404,0.00000,-0.08358,-0.08358
10/29/2019,2520951.83780,0.00000,0.00000,0.00000,-0.00609,-0.00609
10/28/2019,2521105.42576,0.00004,0.00000,0.00000,0.41504,0.41504
10/25/2019,2509664.26683,0.00000,1020.72602,0.00000,0.24967,0.24967
10/24/2019,2503411.41684,0.00000,1020.72602,0.00000,-0.18465,-0.18465
10/23/2019,2508044.49419,0.00000,1020.72602,0.00000,0.26908,0.26908
10/22/2019,2501311.32587,0.00000,1020.72602,0.00000,0.50642,0.50642
10/21/2019,2488702.76984,0.00000,1020.72602,0.00000,0.52812,0.52812
10/18/2019,2475623.01224,0.00000,1020.72602,0.00000,-0.15437,-0.15437
10/17/2019,2479452.06246,0.00000,1020.72602,0.00000,0.40402,0.40402
10/16/2019,2469470.90339,0.00000,1020.72602,0.00000,-0.34003,-0.34003
10/15/2019,2477900.06072,0.00000,1020.72602,0.00000,0.74470,0.74470
10/14/2019,2459576.11777,0.00000,1020.72602,0.00000,-0.05745,-0.05745
10/11/2019,2460990.42503,0.00000,1020.72602,0.00000,0.67291,0.67291
10/10/2019,2444534.09901,0.00000,1020.72602,0.00000,0.48414,0.48414
10/09/2019,2432751.17932,0.00000,1020.72602,0.00000,0.69554,0.69554
10/08/2019,2416960.95487,0.00000,0.00000,0.00000,-0.99621,-0.99621
10/07/2019,2441281.22577,0.00000,0.00000,0.00000,-0.29962,-0.29962
10/04/2019,2448617.71656,0.00000,0.00000,0.00000,0.78958,0.78958
10/03/2019,2429435.49890,0.00000,0.00000,0.00000,0.39769,0.39769
10/02/2019,2419812.14749,-0.00010,0.00000,0.00000,-1.03029,-1.03029
10/01/2019,2443674.89506,0.00011,1327.88661,0.00000,-0.79995,-0.79995
09/30/2019,2462554.50700,-0.00031,2164.86000,0.00000,0.23038,0.23038
