Client Name:  Marketocracy Capital Management, LLC
Folio Name:  jbrumley71_BTMCP
Folio Number:  9A1543200102
Download Date:  06/24/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/23/2020,2499345.84166,0.00000,0.00000,0.00000,-0.05675,-0.05675
06/22/2020,2500765.10642,0.00000,0.00000,0.00000,0.51651,0.51651
06/19/2020,2487914.74767,0.00000,0.00000,0.00000,0.60597,0.60597
06/18/2020,2472929.48741,0.00000,0.00000,0.00000,0.29172,0.29172
06/17/2020,2465736.40514,0.00000,0.00000,0.00000,-0.01014,-0.01014
06/16/2020,2465986.57829,0.00000,0.00000,0.00000,1.10858,1.10858
06/15/2020,2438948.95171,0.00000,0.00000,0.00000,1.34208,1.34208
06/12/2020,2406649.70864,0.00000,0.00000,0.00000,1.05238,1.05238
06/11/2020,2381586.26692,0.00023,0.00000,0.00000,-4.27313,-4.27313
06/10/2020,2487496.51547,0.00000,400.78390,0.00000,-1.34768,-1.34768
06/09/2020,2521483.50203,0.00000,400.78390,0.00000,-1.17059,-1.17059
06/08/2020,2551354.03522,0.00023,400.78390,0.00000,2.62157,2.62157
06/05/2020,2485079.51196,0.00000,1488.28689,0.00000,1.21465,1.21465
06/04/2020,2455238.82328,0.00000,1488.28689,0.00000,-0.57532,-0.57532
06/03/2020,2469454.67998,0.00000,1488.28689,0.00000,0.47100,0.47100
06/02/2020,2457871.08388,-0.00044,1488.28689,0.00000,-0.12495,-0.12495
06/01/2020,2460737.60904,0.00000,1698.55747,0.00000,1.12855,1.12855
05/29/2020,2433257.98070,0.00000,1698.55747,0.00000,0.44865,0.44865
05/28/2020,2422382.31624,0.00000,1698.55747,0.00000,-0.08941,-0.08941
05/27/2020,2424551.55514,0.00000,1698.55747,0.00000,1.10348,1.10348
05/26/2020,2398070.61602,0.00002,1698.55747,0.00000,1.08055,1.08055
05/22/2020,2371216.77228,0.00000,2899.00345,0.00000,0.44266,0.44266
05/21/2020,2360753.93511,0.00000,2899.00345,0.00000,-0.23938,-0.23938
05/20/2020,2366425.59549,0.00006,2899.00345,0.00000,1.53366,1.53366
05/19/2020,2330043.85998,0.00000,3492.16454,0.00000,-1.10858,-1.10858
05/18/2020,2356202.90814,0.00000,3492.16454,0.00000,1.18593,1.18593
05/15/2020,2328546.48989,0.00011,3492.16454,0.00000,0.81773,0.81773
05/14/2020,2310888.81578,0.00000,2234.71755,0.00000,0.74203,0.74203
05/13/2020,2293851.28307,0.00000,2234.71755,0.00000,-1.74789,-1.74789
05/12/2020,2334908.56916,0.00000,2024.44697,0.00000,-2.01082,-2.01082
05/11/2020,2382864.49461,0.00000,2024.44697,0.00000,0.21232,0.21232
05/08/2020,2377811.56006,0.00000,2024.44697,0.00000,1.47956,1.47956
05/07/2020,2343113.75181,0.00000,2024.44697,0.00000,1.66077,1.66077
05/06/2020,2304802.69757,0.00000,2024.44697,0.00000,-1.05478,-1.05478
05/05/2020,2329394.14385,0.00000,2024.44697,0.00000,0.66168,0.66168
05/04/2020,2314069.12504,0.00000,2024.44697,0.00000,0.54000,0.54000
05/01/2020,2301629.42286,0.00000,2024.44697,0.00000,-2.26069,-2.26069
04/30/2020,2354912.50592,0.00000,2024.44697,0.00000,-0.14860,-0.14860
04/29/2020,2358420.09262,0.00000,2024.44697,0.00000,2.28687,2.28687
04/28/2020,2307671.12992,0.00000,0.00000,0.00000,-0.46596,-0.46596
04/27/2020,2318474.30387,-0.00012,0.00000,0.00000,1.44727,1.44727
04/24/2020,2284362.61882,0.00000,1035.77936,0.00000,0.84971,0.84971
04/23/2020,2265106.96843,0.00000,1035.77936,0.00000,0.71326,0.71326
04/22/2020,2249057.87046,0.00000,1035.77936,0.00000,1.10069,1.10069
04/21/2020,2224560.93389,0.00000,1035.77936,0.00000,-2.08658,-2.08658
04/20/2020,2271989.31882,0.00000,1035.77936,0.00000,-0.61956,-0.61956
04/17/2020,2286159.75346,0.00000,1035.77936,0.00000,1.63018,1.63018
04/16/2020,2249472.38520,0.00000,1035.77936,0.00000,1.14917,1.14917
04/15/2020,2223903.96833,0.00000,1035.77936,0.00000,-1.98087,-1.98087
04/14/2020,2268867.82018,0.00000,1035.77936,0.00000,2.55216,2.55216
04/13/2020,2212377.93113,0.00000,1035.77936,0.00000,-0.89736,-0.89736
04/09/2020,2232420.14970,0.00000,1035.77936,0.00000,1.91469,1.91469
04/08/2020,2190459.75434,0.00000,1035.77936,0.00000,2.91432,2.91432
04/07/2020,2129436.83134,0.00000,0.00000,0.00000,-0.39530,-0.39530
04/06/2020,2137887.99654,0.00000,0.00000,0.00000,5.26029,5.26029
04/03/2020,2031048.91007,0.00000,0.00000,0.00000,-1.12798,-1.12798
04/02/2020,2054220.17990,0.00000,0.00000,0.00000,1.84268,1.84268
04/01/2020,2017052.29429,0.00005,0.00000,0.00000,-3.69467,-3.69467
03/31/2020,2093827.30650,0.00049,607.45060,0.00000,-1.05032,-1.05032
03/30/2020,2115212.71693,0.00000,1453.81987,0.00000,2.32508,2.32508
03/27/2020,2067116.88432,0.00000,1453.81987,0.00000,-2.10538,-2.10538
03/26/2020,2111604.74232,0.00000,1453.81987,0.00000,4.94742,4.94742
03/25/2020,2011991.24524,0.00000,1453.81987,0.00000,0.41418,0.41418
03/24/2020,2003686.34106,0.00000,1453.81987,0.00000,6.82424,6.82424
03/23/2020,1875592.20462,0.00000,1453.81987,0.00000,-1.29423,-1.29423
03/20/2020,1900204.01538,0.00000,1453.81987,0.00000,-2.72908,-2.72908
