Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: mrivers_RCAP
Folio Number:  9A1544500901
Download Date:  02/18/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/14/2020,5701991.38694,0.00000,0.00000,0.00000,-0.44424,-0.44424
02/13/2020,5727434.99568,0.00000,0.00000,0.00000,-0.05310,-0.05310
02/12/2020,5730477.76833,0.00000,0.00000,0.00000,1.04047,1.04047
02/11/2020,5671467.73931,0.00015,0.00000,0.00000,1.27248,1.27248
02/10/2020,5592532.63906,0.00000,7673.61643,0.00000,-0.09038,-0.09038
02/07/2020,5597598.55350,0.00000,7673.61643,0.00000,-1.24882,-1.24882
02/06/2020,5668483.43404,0.00000,7673.61643,0.00000,-1.22659,-1.22659
02/05/2020,5738970.95258,0.00000,7673.61643,0.00000,2.07033,2.07033
02/04/2020,5622409.85572,0.00000,7673.61643,0.00000,1.76521,1.76521
02/03/2020,5524751.19680,0.00000,7673.61643,0.00000,-0.27160,-0.27160
01/31/2020,5539818.01948,0.00000,7673.61643,0.00000,-2.31901,-2.31901
01/30/2020,5671519.33631,0.00000,7673.61643,0.00000,0.63227,0.63227
01/29/2020,5635836.88291,-0.00015,7673.61643,0.00000,-1.02012,-1.02012
01/28/2020,5691740.40039,0.00000,9933.85188,0.00000,0.47967,0.47967
01/27/2020,5664521.87200,0.00000,9933.85188,0.00000,-1.58251,-1.58251
01/24/2020,5755764.37978,0.00000,9933.85188,0.00000,-1.59825,-1.59825
01/23/2020,5849411.59123,0.00000,9933.85188,0.00000,-0.53982,-0.53982
01/22/2020,5881213.25783,0.00000,9933.85188,0.00000,-0.76879,-0.76879
01/21/2020,5926854.90149,0.00000,9933.85188,0.00000,-0.65256,-0.65256
01/17/2020,5965850.54547,0.00000,9933.85188,0.00000,-0.24575,-0.24575
01/16/2020,5980572.05412,0.00000,9933.85188,0.00000,1.18852,1.18852
01/15/2020,5910210.22844,0.00000,9933.85188,0.00000,-0.41232,-0.41232
01/14/2020,5931506.74078,0.00000,13148.56172,0.00000,0.82672,0.82672
