Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: mrivers_RCAP
Folio Number:  9A1544500901
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,5001676.84466,0.00000,0.00000,0.00000,0.42246,0.42246
07/01/2020,4980635.75202,0.00000,0.00000,0.00000,-2.42447,-2.42447
06/30/2020,5098980.62555,0.00000,5409.38007,0.00000,0.76406,0.76406
06/29/2020,5060275.71977,0.00000,5409.38007,0.00000,5.00931,5.00931
06/26/2020,4818624.79687,0.00000,5409.38007,0.00000,-2.13174,-2.13174
06/25/2020,4923700.47753,0.00000,5409.38007,0.00000,0.49612,0.49612
06/24/2020,4899366.85999,0.00000,5409.38007,0.00000,-5.80621,-5.80621
06/23/2020,5201702.61217,0.00000,5409.38007,0.00000,1.47786,1.47786
06/22/2020,5125869.27883,0.00000,5409.38007,0.00000,0.14984,0.14984
06/19/2020,5118191.84145,0.00000,5409.38007,0.00000,-2.46951,-2.46951
06/18/2020,5247923.65144,0.00000,5409.38007,0.00000,0.56053,0.56053
06/17/2020,5218641.52869,0.00000,5409.38007,0.00000,-3.50510,-3.50510
06/16/2020,5408400.80852,0.00000,5409.38007,0.00000,1.55217,1.55217
06/15/2020,5325653.86139,0.00000,5409.38007,0.00000,0.36435,0.36435
06/12/2020,5306300.75314,0.00000,5409.38007,0.00000,5.91087,5.91087
06/11/2020,5015264.53026,0.00000,0.00000,0.00000,-10.69063,-10.69063
06/10/2020,5615608.51964,0.00000,0.00000,0.00000,-6.83400,-6.83400
06/09/2020,6027529.81233,0.00000,0.00000,0.00000,-5.05386,-5.05386
06/08/2020,6348367.30179,0.00000,0.00000,0.00000,7.14533,7.14533
06/05/2020,5925005.81117,0.00000,0.00000,0.00000,6.03935,6.03935
06/04/2020,5587553.67548,0.00000,0.00000,0.00000,3.09988,3.09988
06/03/2020,5419553.76619,0.00000,0.00000,0.00000,5.19268,5.19268
06/02/2020,5152025.65732,0.00000,0.00000,0.00000,2.30951,2.30951
06/01/2020,5035724.89353,0.00000,0.00000,0.00000,3.78283,3.78283
