Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: ivankollar_IMF
Folio Number:  9A1544600101
Download Date:  05/20/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/17/2019,2448154.29769,0.00000,0.00000,0.00000,-1.09303,-1.09303
05/16/2019,2475209.03923,0.00000,0.00000,0.00000,1.14883,1.14883
05/15/2019,2447096.11712,0.00000,0.00000,0.00000,0.98541,0.98541
05/14/2019,2423217.37576,2040.07995,0.00000,0.00000,1.17653,1.17653
05/13/2019,2393010.75324,0.00000,0.00000,0.00000,-3.68749,-3.68749
05/10/2019,2484631.16249,0.00000,0.00000,0.00000,0.47763,0.47763
05/09/2019,2472820.31538,0.00000,0.00000,0.00000,-0.38686,-0.38686
05/08/2019,2482423.83745,0.00000,0.00000,0.00000,-0.42776,-0.42776
05/07/2019,2493088.23670,0.00030,0.00000,0.00000,-2.38030,-2.38030
05/06/2019,2553588.61033,-0.00031,289.55696,0.00000,-0.47306,-0.47306
05/03/2019,2565213.62142,0.00000,803.47158,0.00000,1.69169,1.69169
05/02/2019,2522526.68160,0.00000,803.47158,0.00000,-0.12593,-0.12593
05/01/2019,2525708.40077,0.00001,803.47158,0.00000,-0.79613,-0.79613
04/30/2019,2546448.04601,0.00000,339.47266,0.00000,-0.26265,-0.26265
04/29/2019,2553154.76484,0.00000,339.47266,0.00000,0.24008,0.24008
04/26/2019,2547039.04108,0.00000,339.47266,0.00000,0.59450,0.59450
04/25/2019,2531984.27425,0.00000,339.47266,0.00000,-0.25504,-0.25504
04/24/2019,2538459.19111,0.00100,339.47266,0.00000,-0.09003,-0.09003
04/23/2019,2540746.87923,0.00000,339.47266,0.00000,-1.13457,-1.13457
04/22/2019,2569908.13951,0.00000,339.47266,0.00000,0.02339,0.02339
04/18/2019,2569307.00445,0.00002,339.47266,0.00000,-0.05231,-0.05231
04/17/2019,2570380.02060,0.00000,611.41859,0.00000,0.18484,0.18484
04/16/2019,2565636.58304,0.00000,611.41859,0.00000,-0.41469,-0.41469
