Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: ivankollar_IMF
Folio Number:  9A1544600101
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2439955.16718,0.00000,0.00000,0.00000,0.98943,0.98943
07/01/2020,2416049.96895,0.00026,0.00000,0.00000,0.24999,0.24999
06/30/2020,2409654.50688,-0.00009,370.65422,0.00000,2.10256,2.10256
06/29/2020,2358714.23222,0.00000,1682.13103,0.00000,3.25587,3.25587
06/26/2020,2284286.02141,0.00000,1682.13103,0.00000,-4.25690,-4.25690
06/25/2020,2385924.05836,0.00000,1682.13103,0.00000,1.65460,1.65460
06/24/2020,2347061.75608,0.00000,1682.13103,0.00000,-4.41579,-4.41579
06/23/2020,2455586.36465,-0.00005,1664.45832,0.00000,0.77890,0.77890
06/22/2020,2433087.21576,0.00000,5171.91345,0.00000,1.09779,1.09779
06/19/2020,2406610.82254,0.00000,5171.91345,0.00000,-1.02916,-1.02916
06/18/2020,2431690.15093,0.00003,5171.91345,0.00000,0.12889,0.12889
06/17/2020,2427449.41806,0.00000,6275.82897,0.00000,-1.18747,-1.18747
06/16/2020,2456696.35289,0.00000,6275.82897,0.00000,3.29677,3.29677
06/15/2020,2378089.36847,0.00000,6275.82897,0.00000,1.83011,1.83011
06/12/2020,2338744.47558,0.00000,2768.37384,0.00000,2.51927,2.51927
06/11/2020,2281205.04631,0.00000,2768.37384,0.00000,-11.20407,-11.20407
06/10/2020,2569391.70215,0.00000,2768.37384,0.00000,-1.96482,-1.96482
06/09/2020,2622399.89138,0.00000,1311.47681,0.00000,-1.80065,-1.80065
06/08/2020,2670510.08313,0.00000,1311.47681,0.00000,2.93105,2.93105
06/05/2020,2595739.24340,0.00022,0.00000,0.00000,5.15963,5.15963
06/04/2020,2468134.59540,0.00000,245.35370,0.00000,-0.32171,-0.32171
06/03/2020,2476101.29270,0.00026,245.35370,0.00000,3.00846,3.00846
06/02/2020,2403777.13446,0.00000,245.35370,0.00000,1.03313,1.03313
06/01/2020,2379194.52039,-0.00001,245.35370,0.00000,0.93044,0.93044
