Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: treaux_LDGF
Folio Number:  9A1544700T01
Download Date:  05/20/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/17/2019,2176117.39583,0.00025,0.00000,0.00000,-0.97667,-0.97667
05/16/2019,2196548.98411,0.00000,1031.55309,0.00000,-1.14224,-1.14224
05/15/2019,2221940.74691,0.00014,1031.55309,0.00000,0.88846,0.88846
05/14/2019,2201753.40002,0.00000,1642.65177,0.00000,0.78602,0.78602
05/13/2019,2184569.28557,0.00000,1642.65177,0.00000,-1.96121,-1.96121
05/10/2019,2228303.28863,0.00006,1642.65177,0.00000,0.05822,0.05822
05/09/2019,2226059.91070,0.00000,2588.45414,0.00000,-2.16482,-2.16482
05/08/2019,2275373.73870,0.00000,2588.45414,0.00000,-0.35679,-0.35679
05/07/2019,2283530.44383,0.00000,2588.45414,0.00000,-1.49951,-1.49951
05/06/2019,2318332.89904,0.00000,2588.45414,0.00000,-1.55962,-1.55962
05/03/2019,2355103.83527,0.00000,2588.45414,0.00000,0.77596,0.77596
05/02/2019,2336950.00922,0.00000,2588.45414,0.00000,-0.07733,-0.07733
05/01/2019,2340738.04295,0.00000,611.09868,0.00000,-0.34831,-0.34831
04/30/2019,2348921.66954,0.00000,611.09868,0.00000,-3.05267,-3.05267
04/29/2019,2422903.58587,0.00000,611.09868,0.00000,0.26581,0.26581
04/26/2019,2416478.72665,0.00000,611.09868,0.00000,0.74096,0.74096
04/25/2019,2398700.83102,0.00000,611.09868,0.00000,-0.36259,-0.36259
04/24/2019,2407432.16145,0.00000,611.09868,0.00000,0.20059,0.20059
04/23/2019,2402611.49118,0.00000,611.09868,0.00000,1.69323,1.69323
04/22/2019,2362597.04589,0.00000,611.09868,0.00000,-0.64438,-0.64438
04/18/2019,2377923.76985,0.00000,611.09868,0.00000,0.27279,0.27279
04/17/2019,2371453.01231,0.00000,611.09868,0.00000,0.79122,0.79122
04/16/2019,2352832.08128,0.00000,611.09868,0.00000,2.34283,2.34283
