Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: treaux_LDGF
Folio Number:  9A1544700T01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2076675.59504,0.00000,0.00000,0.00000,0.95086,0.95086
07/01/2020,2057115.32281,0.00000,0.00000,0.00000,-0.50938,-0.50938
06/30/2020,2067647.51410,-0.00014,0.00000,0.00000,1.57041,1.57041
06/29/2020,2034163.12721,0.00027,1515.90994,0.00000,1.93905,1.93905
06/26/2020,1993133.61857,0.00000,3823.51775,0.00000,-1.73476,-1.73476
06/25/2020,2028387.59403,-0.00044,3823.51775,0.00000,0.98043,0.98043
06/24/2020,2006416.31725,0.00000,6063.82631,0.00000,-2.42950,-2.42950
06/23/2020,2056526.93088,0.00000,6063.82631,0.00000,0.80158,0.80158
06/22/2020,2040125.07376,0.00000,6063.82631,0.00000,-0.62776,-0.62776
06/19/2020,2053051.41887,0.00000,6063.82631,0.00000,0.39814,0.39814
06/18/2020,2044885.74612,0.00000,6063.82631,0.00000,-0.26299,-0.26299
06/17/2020,2051809.58799,0.00000,4547.91637,0.00000,-1.18593,-1.18593
06/16/2020,2076489.24035,0.00000,4547.91637,0.00000,2.30790,2.30790
06/15/2020,2029544.33525,-0.00001,4547.91637,0.00000,0.58843,0.58843
06/12/2020,2016852.34258,0.00000,5340.65498,0.00000,2.03039,2.03039
06/11/2020,1976610.97422,0.00000,5340.65498,0.00000,-6.58786,-6.58786
06/10/2020,2118695.09050,0.00000,3033.04717,0.00000,-2.19015,-2.19015
06/09/2020,2166204.75476,0.00000,3033.04717,0.00000,-1.52667,-1.52667
06/08/2020,2199835.17880,-0.00090,3033.04717,0.00000,1.81166,1.81166
06/05/2020,2159766.39709,0.00014,3903.41139,0.00000,3.78323,3.78323
06/04/2020,2079078.57634,-0.00015,5718.52714,0.00000,1.56740,1.56740
06/03/2020,2045379.64080,0.00000,7244.64253,0.00000,2.13300,2.13300
06/02/2020,2004751.83980,0.00000,5004.33397,0.00000,1.25356,1.25356
06/01/2020,1979870.24393,0.00000,5004.33397,0.00000,-0.22737,-0.22737
