Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: mkoza_TGF
Folio Number:  9A1544800L01
Download Date:  01/15/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
01/14/2020,7655772.44648,0.00000,0.00000,0.00000,-0.12882,-0.12882
01/13/2020,7665647.14942,0.00000,0.00000,0.00000,-0.28646,-0.28646
01/10/2020,7687669.32445,0.00000,0.00000,0.00000,-0.36729,-0.36729
01/09/2020,7716009.23472,0.00000,0.00000,0.00000,-0.03027,-0.03027
01/08/2020,7718345.58525,0.00000,0.00000,0.00000,0.47418,0.47418
01/07/2020,7681919.52758,0.00000,0.00000,0.00000,0.42949,0.42949
01/06/2020,7649067.66212,0.00000,0.00000,0.00000,0.79089,0.79089
01/03/2020,7589046.62114,0.00000,0.00000,0.00000,0.07328,0.07328
01/02/2020,7583489.11283,0.00000,0.00000,0.00000,0.25495,0.25495
12/31/2019,7564204.15590,0.00000,0.00000,0.00000,-0.03583,-0.03583
12/30/2019,7566915.48443,-0.00007,0.00000,0.00000,-0.04994,-0.04994
12/27/2019,7561453.26476,0.00000,9242.66779,0.00000,-0.15274,-0.15274
12/26/2019,7573034.25041,0.00000,9242.66779,0.00000,0.52811,0.52811
12/24/2019,7533201.60235,-0.00003,9242.66779,0.00000,0.04168,0.04168
12/23/2019,7529019.15688,0.00000,10282.37095,0.00000,-0.05764,-0.05764
12/20/2019,7541297.24265,-0.00040,2352.39900,0.00000,0.12684,0.12684
12/19/2019,7531629.79830,0.00008,2463.83181,0.00000,-0.57547,-0.57547
12/18/2019,7573551.68128,0.00000,4149.16359,0.00000,-0.55241,-0.55241
12/17/2019,7615643.88014,-0.00002,4149.16359,0.00000,0.50140,0.50140
12/16/2019,7577445.57444,0.00000,4332.32374,0.00000,0.75161,0.75161
12/13/2019,7520885.11537,-0.00001,4332.32374,0.00000,0.60835,0.60835
