Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: mkoza_TGF
Folio Number:  9A1544800L01
Download Date:  08/26/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/23/2019,7109562.36433,0.00000,0.00000,0.00000,-1.96251,-1.96251
08/22/2019,7251881.19677,0.00000,0.00000,0.00000,-0.59396,-0.59396
08/21/2019,7295211.58744,0.00000,0.00000,0.00000,0.97112,0.97112
08/20/2019,7225047.85626,0.00005,0.00000,0.00000,-0.96856,-0.96856
08/19/2019,7294175.60907,0.00000,1535.83309,0.00000,0.88133,0.88133
08/16/2019,7230438.11739,0.00000,1535.83309,0.00000,1.47518,1.47518
08/15/2019,7125304.38085,0.00000,1535.83309,0.00000,-0.89250,-0.89250
08/14/2019,7189484.22558,0.00000,1535.83309,0.00000,-1.87442,-1.87442
08/13/2019,7326848.81406,0.00000,1535.83309,0.00000,2.39125,2.39125
08/12/2019,7155701.16079,0.00000,1535.83309,0.00000,-0.96519,-0.96519
08/09/2019,7225455.21909,0.00000,1535.83309,0.00000,-0.30189,-0.30189
08/08/2019,7247339.05188,0.00000,1535.83309,0.00000,1.42811,1.42811
08/07/2019,7145274.77044,0.00000,1535.83309,0.00000,-0.10630,-0.10630
08/06/2019,7152879.91315,0.00000,1535.83309,0.00000,0.56681,0.56681
08/05/2019,7112556.83142,0.00000,1535.83309,0.00000,-1.77792,-1.77792
08/02/2019,7241329.17323,0.00000,1535.83309,0.00000,-1.75001,-1.75001
08/01/2019,7371873.34490,0.00000,0.00000,0.00000,-0.68446,-0.68446
07/31/2019,7422678.35283,0.00000,0.00000,0.00000,-0.53959,-0.53959
07/30/2019,7462947.93727,0.00000,0.00000,0.00000,1.38631,1.38631
07/29/2019,7360903.26147,0.00000,0.00000,0.00000,-0.45946,-0.45946
07/26/2019,7394879.70180,0.00000,0.00000,0.00000,0.53129,0.53129
07/25/2019,7355799.12354,0.00000,0.00000,0.00000,-1.26116,-1.26116
07/24/2019,7449752.61235,0.00000,0.00000,0.00000,1.05339,1.05339
07/23/2019,7372095.72970,0.00000,0.00000,0.00000,0.72065,0.72065
