Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: mkoza_TGF
Folio Number:  9A1544800L01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,7364982.45894,0.00000,0.00000,0.00000,0.42743,0.42743
07/01/2020,7333636.46571,0.00000,0.00000,0.00000,-1.40381,-1.40381
06/30/2020,7438052.44635,0.00000,0.00000,0.00000,1.12125,1.12125
06/29/2020,7355578.10215,-0.00024,0.00000,0.00000,2.47928,2.47928
06/26/2020,7176181.56190,0.00009,1443.43781,0.00000,-2.75577,-2.75577
06/25/2020,7379406.13307,0.00000,1622.84524,0.00000,1.20739,1.20739
06/24/2020,7291351.50202,-0.00003,1622.84524,0.00000,-1.63214,-1.63214
06/23/2020,7411205.87262,0.00000,2774.94963,0.00000,0.10532,0.10532
06/22/2020,7403405.66076,0.00000,2774.94963,0.00000,1.18875,1.18875
06/19/2020,7316399.19254,0.00001,2774.94963,0.00000,-1.49752,-1.49752
06/18/2020,7425867.06708,0.00000,4579.77775,0.00000,0.17120,0.17120
06/17/2020,7413167.99202,0.00000,4579.77775,0.00000,-1.49794,-1.49794
06/16/2020,7525970.77243,0.00003,4579.77775,0.00000,0.92793,0.92793
06/15/2020,7456548.72495,0.00000,4765.89667,0.00000,1.21272,1.21272
06/12/2020,7367148.05251,-0.00011,4765.89667,0.00000,1.92226,1.92226
06/11/2020,7226159.46868,0.00000,6719.63862,0.00000,-4.38427,-4.38427
06/10/2020,7559252.11025,0.00000,5276.20081,0.00000,-2.19888,-2.19888
06/09/2020,7729326.82326,0.00000,5276.20081,0.00000,-0.93590,-0.93590
06/08/2020,7803550.99285,0.00000,4124.09642,0.00000,1.58128,1.58128
06/05/2020,7682011.42464,0.00000,4124.09642,0.00000,1.11764,1.11764
06/04/2020,7597057.71864,0.00000,4124.09642,0.00000,0.72494,0.72494
06/03/2020,7542350.35060,0.00000,4124.09642,0.00000,2.08609,2.08609
06/02/2020,7388141.02072,0.00000,4124.09642,0.00000,0.59336,0.59336
06/01/2020,7344537.18327,0.00000,4124.09642,0.00000,-0.25591,-0.25591
