Client Name:  Marketocracy Capital Management, LLC
Folio Name:  stoke_RSF
Folio Number:  9A1545700P01
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,2393553.68436,0.00000,0.00000,0.00000,1.34574,1.34574
02/14/2019,2361770.37900,-0.00002,0.00000,0.00000,0.60199,0.60199
02/13/2019,2346067.16435,0.00000,1570.59851,0.00000,0.89293,0.89293
02/12/2019,2325289.82689,0.00000,1570.59851,0.00000,0.93470,0.93470
02/11/2019,2303742.15087,0.00000,1570.59851,0.00000,1.48444,1.48444
02/08/2019,2270021.76917,0.00000,1570.59851,0.00000,0.30322,0.30322
02/07/2019,2263154.66100,0.00000,1570.59851,0.00000,-1.79192,-1.79192
02/06/2019,2306047.90650,0.00000,0.00000,0.00000,-0.41970,-0.41970
02/05/2019,2315767.18800,0.00000,0.00000,0.00000,0.24220,0.24220
02/04/2019,2310171.88982,0.00000,0.00000,0.00000,0.56210,0.56210
02/01/2019,2297258.94853,0.00000,0.00000,0.00000,-0.53488,-0.53488
01/31/2019,2309612.49176,0.00000,0.00000,0.00000,1.18962,1.18962
01/30/2019,2282459.91394,0.00000,0.00000,0.00000,2.27766,2.27766
01/29/2019,2231631.03168,0.00000,0.00000,0.00000,-0.07223,-0.07223
01/28/2019,2233244.09289,0.00000,0.00000,0.00000,-0.62383,-0.62383
01/25/2019,2247263.20216,0.00000,0.00000,0.00000,1.43276,1.43276
01/24/2019,2215520.13356,0.00000,0.00000,0.00000,1.12940,1.12940
01/23/2019,2190777.40334,-0.00007,0.00000,0.00000,-0.53869,-0.53869
01/22/2019,2201629.21457,0.00030,1013.64531,0.00000,-2.10747,-2.10747
01/18/2019,2249048.53909,0.00086,1013.64531,0.00000,1.73929,1.73929
01/17/2019,2210582.44900,0.00000,1013.64531,0.00000,0.44042,0.44042
01/16/2019,2200884.94394,-0.00011,1013.64531,0.00000,0.21137,0.21137
01/15/2019,2196085.74521,0.00000,1168.55988,0.00000,1.20348,1.20348
