Client Name:  Marketocracy Capital Management, LLC
Folio Name:  stoke_RSF
Folio Number:  9A1545700P01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,3075087.08575,-0.00214,0.00000,0.00000,-0.17914,-0.17914
07/01/2020,3080605.62524,0.00000,0.00000,0.00000,1.06970,1.06970
06/30/2020,3048001.18398,0.00000,0.00000,0.00000,1.89623,1.89623
06/29/2020,2991279.57967,0.00000,0.00000,0.00000,-0.41418,-0.41418
06/26/2020,3003720.43706,0.00000,0.00000,0.00000,-0.80703,-0.80703
06/25/2020,3028158.62746,0.00000,0.00000,0.00000,0.37574,0.37574
06/24/2020,3016823.34010,0.00000,0.00000,0.00000,-2.46356,-2.46356
06/23/2020,3093021.65237,0.00000,0.00000,0.00000,-0.08129,-0.08129
06/22/2020,3095537.99562,0.00000,0.00000,0.00000,2.28333,2.28333
06/19/2020,3026434.62181,0.00000,0.00000,0.00000,0.72299,0.72299
06/18/2020,3004710.84216,0.00000,0.00000,0.00000,0.74309,0.74309
06/17/2020,2982547.83628,0.00121,0.00000,0.00000,0.27795,0.27795
06/16/2020,2973733.14453,0.00000,547.74033,0.00000,1.42202,1.42202
06/15/2020,2932031.41713,0.00004,547.74033,0.00000,1.92427,1.92427
06/12/2020,2875951.54464,0.00000,1262.16730,0.00000,1.08466,1.08466
06/11/2020,2845078.28736,0.00000,1262.16730,0.00000,-5.78511,-5.78511
06/10/2020,3019853.00353,0.00000,1262.16730,0.00000,2.18250,2.18250
06/09/2020,2955325.36481,0.00000,1262.16730,0.00000,-0.93989,-0.93989
06/08/2020,2983377.67425,0.00000,1262.16730,0.00000,3.13308,3.13308
06/05/2020,2892707.39492,0.00000,1262.16730,0.00000,0.67354,0.67354
06/04/2020,2873345.81524,0.00000,1262.16730,0.00000,-1.98704,-1.98704
06/03/2020,2931623.51799,0.00000,1262.16730,0.00000,0.28900,0.28900
06/02/2020,2923171.76932,0.00000,1262.16730,0.00000,-0.41342,-0.41342
06/01/2020,2935312.28868,0.00000,1262.16730,0.00000,0.13511,0.13511
