Client Name:  Marketocracy Capital Management, LLC
Folio Name:  stoke_NANO
Folio Number:  9A1545700P02
Download Date:  05/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/03/2019,2239112.87386,0.00000,0.00000,0.00000,5.74152,5.74152
05/02/2019,2117534.18069,0.00000,0.00000,0.00000,1.09308,1.09308
05/01/2019,2094638.09931,-0.00006,0.00000,0.00000,0.11265,0.11265
04/30/2019,2091974.61797,0.00000,306.42903,0.00000,-0.24756,-0.24756
04/29/2019,2097167.11636,0.00000,306.42903,0.00000,-0.69302,-0.69302
04/26/2019,2111804.55200,0.00000,306.42903,0.00000,0.88591,0.88591
04/25/2019,2093257.43584,0.00027,306.42903,0.00000,-0.74638,-0.74638
04/24/2019,2109000.87595,0.00000,306.42903,0.00000,0.07673,0.07673
04/23/2019,2107383.62700,0.00000,306.42903,0.00000,1.19337,1.19337
04/22/2019,2082834.04570,0.00000,0.00000,0.00000,0.09521,0.09521
04/18/2019,2080852.85412,0.00000,0.00000,0.00000,0.08459,0.08459
04/17/2019,2079094.11255,0.00033,0.00000,0.00000,-0.93243,-0.93243
04/16/2019,2098662.73179,0.00000,0.00000,0.00000,-0.35240,-0.35240
04/15/2019,2106084.52817,-0.00006,0.00000,0.00000,0.76030,0.76030
04/12/2019,2090192.85372,0.00000,0.00000,0.00000,-1.03553,-1.03553
04/11/2019,2112063.88449,0.00000,0.00000,0.00000,-0.05410,-0.05410
04/10/2019,2113207.12767,0.00000,0.00000,0.00000,1.00212,1.00212
04/09/2019,2092240.38681,0.00000,0.00000,0.00000,-0.82958,-0.82958
04/08/2019,2109742.48887,0.00000,0.00000,0.00000,0.25437,0.25437
04/05/2019,2104389.47010,0.00000,0.00000,0.00000,0.61373,0.61373
04/04/2019,2091552.90416,0.00000,0.00000,0.00000,0.53582,0.53582
04/03/2019,2080405.63499,0.00000,0.00000,0.00000,-1.44450,-1.44450
04/02/2019,2110897.62472,0.00000,0.00000,0.00000,1.76501,1.76501
