Client Name:  Marketocracy Capital Management, LLC
Folio Name:  stoke_NANO
Folio Number:  9A1545700P02
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2902995.98850,0.00023,0.00000,0.00000,1.71296,1.71296
07/01/2020,2854106.26298,0.00000,0.00000,0.00000,-0.19076,-0.19076
06/30/2020,2859561.13657,0.00000,0.00000,0.00000,1.05214,1.05214
06/29/2020,2829787.79840,0.00000,0.00000,0.00000,-0.76544,-0.76544
06/26/2020,2851615.20094,0.00000,0.00000,0.00000,-7.04026,-7.04026
06/25/2020,3067580.80181,0.00000,0.00000,0.00000,2.94226,2.94226
06/24/2020,2979904.19919,0.00000,0.00000,0.00000,-3.62055,-3.62055
06/23/2020,3091846.16016,0.00000,0.00000,0.00000,1.82637,1.82637
06/22/2020,3036390.48724,0.00000,0.00000,0.00000,-1.10586,-1.10586
06/19/2020,3070344.10651,0.00000,0.00000,0.00000,-0.62537,-0.62537
06/18/2020,3089666.02358,0.00000,0.00000,0.00000,0.00654,0.00654
06/17/2020,3089463.86933,0.00000,0.00000,0.00000,-0.90303,-0.90303
06/16/2020,3117616.81660,0.00000,0.00000,0.00000,0.81515,0.81515
06/15/2020,3092408.98679,0.00000,0.00000,0.00000,6.16270,6.16270
06/12/2020,2912895.95878,0.00000,0.00000,0.00000,4.63795,4.63795
06/11/2020,2783785.28683,0.00000,0.00000,0.00000,-5.84634,-5.84634
06/10/2020,2956640.41886,0.00000,0.00000,0.00000,-0.60616,-0.60616
06/09/2020,2974671.73365,0.00000,0.00000,0.00000,0.07445,0.07445
06/08/2020,2972458.59611,0.00000,0.00000,0.00000,2.55334,2.55334
06/05/2020,2898451.41074,0.00000,0.00000,0.00000,4.00472,4.00472
06/04/2020,2786846.09567,0.00000,0.00000,0.00000,-1.46321,-1.46321
06/03/2020,2828229.03673,0.00000,0.00000,0.00000,0.66295,0.66295
06/02/2020,2809602.86790,0.00000,0.00000,0.00000,0.82201,0.82201
06/01/2020,2786695.96551,0.00000,0.00000,0.00000,2.26635,2.26635
