Client Name:  Marketocracy Capital Management, LLC
Folio Name:  stoke_VF
Folio Number:  9A1545700P06
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,1831789.30052,0.00000,0.00000,0.00000,1.39706,1.39706
03/29/2019,1806550.76759,0.00000,0.00000,0.00000,1.53262,1.53262
03/28/2019,1779281.16355,0.00000,0.00000,0.00000,0.97487,0.97487
03/27/2019,1762102.87547,0.00000,0.00000,0.00000,-0.97663,-0.97663
03/26/2019,1779481.85434,0.00000,0.00000,0.00000,-1.27715,-1.27715
03/25/2019,1802502.46398,0.00000,0.00000,0.00000,-1.65376,-1.65376
03/22/2019,1832812.75346,0.00000,0.00000,0.00000,-3.03309,-3.03309
03/21/2019,1890142.41860,0.00000,0.00000,0.00000,0.41901,0.41901
03/20/2019,1882255.55137,0.00000,0.00000,0.00000,-0.32900,-0.32900
03/19/2019,1888468.61797,0.00000,0.00000,0.00000,-0.83111,-0.83111
03/18/2019,1904295.47856,0.00000,0.00000,0.00000,0.45715,0.45715
03/15/2019,1895629.56932,0.00000,0.00000,0.00000,0.77687,0.77687
03/14/2019,1881016.42456,0.00000,0.00000,0.00000,-0.40550,-0.40550
03/13/2019,1888675.02225,0.00000,0.00000,0.00000,0.72218,0.72218
03/12/2019,1875133.11868,0.00000,0.00000,0.00000,1.36112,1.36112
03/11/2019,1849953.10300,0.00000,0.00000,0.00000,1.18988,1.18988
03/08/2019,1828199.70900,0.00000,0.00000,0.00000,-0.46646,-0.46646
03/07/2019,1836767.48088,0.00000,0.00000,0.00000,-1.26286,-1.26286
03/06/2019,1860259.93201,0.00000,0.00000,0.00000,-0.88187,-0.88187
03/05/2019,1876810.98035,0.00000,0.00000,0.00000,0.54369,0.54369
03/04/2019,1866662.06408,0.00000,0.00000,0.00000,-1.18329,-1.18329
03/01/2019,1889014.52702,0.00000,0.00000,0.00000,-0.08383,-0.08383
02/28/2019,1890599.48124,0.00000,0.00000,0.00000,-0.79825,-0.79825
02/27/2019,1905812.56924,0.00000,0.00000,0.00000,-0.34991,-0.34991
02/26/2019,1912504.60703,0.00000,0.00000,0.00000,-0.65887,-0.65887
02/25/2019,1925189.15730,0.00000,0.00000,0.00000,0.77148,0.77148
02/22/2019,1910450.36970,0.00000,0.00000,0.00000,3.46589,3.46589
02/21/2019,1846454.28025,0.00000,0.00000,0.00000,-0.27862,-0.27862
02/20/2019,1851613.24618,0.00000,0.00000,0.00000,0.19010,0.19010
02/19/2019,1848100.05207,0.00000,0.00000,0.00000,0.94231,0.94231
02/15/2019,1830847.78681,0.00000,0.00000,0.00000,0.05871,0.05871
02/14/2019,1829773.55489,0.00000,0.00000,0.00000,0.36338,0.36338
02/13/2019,1823148.54584,0.00000,0.00000,0.00000,1.48302,1.48302
02/12/2019,1796506.04385,0.00000,0.00000,0.00000,1.57532,1.57532
02/11/2019,1768644.26660,0.00000,0.00000,0.00000,-0.63658,-0.63658
02/08/2019,1779975.15209,0.00000,0.00000,0.00000,0.70006,0.70006
02/07/2019,1767600.80708,0.00000,0.00000,0.00000,-1.44017,-1.44017
02/06/2019,1793429.28149,0.00000,0.00000,0.00000,-0.53770,-0.53770
02/05/2019,1803124.66066,0.00000,0.00000,0.00000,1.49154,1.49154
02/04/2019,1776625.50850,0.00000,0.00000,0.00000,0.36149,0.36149
02/01/2019,1770226.40160,0.00000,0.00000,0.00000,-0.05906,-0.05906
01/31/2019,1771272.58800,0.00000,0.00000,0.00000,1.09081,1.09081
01/30/2019,1752159.85009,0.00000,0.00000,0.00000,1.44065,1.44065
01/29/2019,1727275.80708,0.00000,0.00000,0.00000,0.53700,0.53700
01/28/2019,1718049.89740,0.00000,0.00000,0.00000,-0.89862,-0.89862
01/25/2019,1733628.70957,0.00000,0.00000,0.00000,1.58443,1.58443
01/24/2019,1706588.93594,0.00000,0.00000,0.00000,1.55204,1.55204
01/23/2019,1680506.87940,0.00000,0.00000,0.00000,-0.10585,-0.10585
01/22/2019,1682287.52731,0.00000,0.00000,0.00000,-1.89661,-1.89661
01/18/2019,1714810.82639,0.00009,0.00000,0.00000,1.34945,1.34945
01/17/2019,1691978.36517,0.00000,0.00000,0.00000,0.75893,0.75893
01/16/2019,1679234.09619,0.00081,0.00000,0.00000,-0.00994,-0.00994
01/15/2019,1679400.96257,0.00000,0.00000,0.00000,0.83060,0.83060
01/14/2019,1665566.78477,0.00000,0.00000,0.00000,-1.77537,-1.77537
01/11/2019,1695671.15258,0.00000,0.00000,0.00000,-0.74221,-0.74221
01/10/2019,1708350.77009,0.00000,0.00000,0.00000,2.15296,2.15296
01/09/2019,1672345.80241,0.00000,0.00000,0.00000,2.55994,2.55994
01/08/2019,1630603.37536,-0.00009,0.00000,0.00000,1.49112,1.49112
01/07/2019,1606646.41088,-0.00064,0.00000,0.00000,7.10184,7.10184
01/04/2019,1500110.91512,0.00000,0.00000,0.00000,2.72694,2.72694
01/03/2019,1460289.72524,0.00000,0.00000,0.00000,-1.76972,-1.76972
01/02/2019,1486598.38681,0.00000,0.00000,0.00000,1.77047,1.77047
