Client Name:  Marketocracy Capital Management, LLC
Folio Name:  stoke_VF
Folio Number:  9A1545700P06
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,2150399.34873,-0.00011,0.00000,0.00000,2.22024,2.22024
07/01/2020,2103692.38878,0.00000,0.00000,0.00000,0.03396,0.03396
06/30/2020,2102978.24260,0.00000,0.00000,0.00000,0.85332,0.85332
06/29/2020,2085184.91354,0.00000,0.00000,0.00000,0.30552,0.30552
06/26/2020,2078833.72839,0.00000,0.00000,0.00000,-1.27489,-1.27489
06/25/2020,2105678.91491,0.00000,0.00000,0.00000,1.46213,1.46213
06/24/2020,2075334.77664,0.00000,0.00000,0.00000,-2.44001,-2.44001
06/23/2020,2127239.58589,0.00000,0.00000,0.00000,1.11534,1.11534
06/22/2020,2103775.28873,0.00000,0.00000,0.00000,-0.12463,-0.12463
06/19/2020,2106400.45795,0.00000,0.00000,0.00000,1.03161,1.03161
06/18/2020,2084892.43243,0.00000,0.00000,0.00000,0.57432,0.57432
06/17/2020,2072986.88550,0.00000,0.00000,0.00000,1.82356,1.82356
06/16/2020,2035861.78549,0.00000,0.00000,0.00000,2.27331,2.27331
06/15/2020,1990609.03683,0.00000,0.00000,0.00000,1.79448,1.79448
06/12/2020,1955517.73125,0.00000,0.00000,0.00000,1.13719,1.13719
06/11/2020,1933529.73495,0.00000,0.00000,0.00000,-4.18910,-4.18910
06/10/2020,2018068.58404,0.00000,0.00000,0.00000,1.13238,1.13238
06/09/2020,1995472.31709,0.00000,0.00000,0.00000,-0.41980,-0.41980
06/08/2020,2003884.71846,0.00000,0.00000,0.00000,-0.00571,-0.00571
06/05/2020,2003999.11409,0.00000,0.00000,0.00000,2.09203,2.09203
06/04/2020,1962933.86015,0.00000,0.00000,0.00000,-1.02452,-1.02452
06/03/2020,1983252.70085,0.00000,0.00000,0.00000,1.30300,1.30300
06/02/2020,1957743.21574,0.00000,0.00000,0.00000,1.64152,1.64152
06/01/2020,1926125.54331,-0.00002,0.00000,0.00000,0.72132,0.72132
