Client Name:  Marketocracy Capital Management, LLC
Folio Name:  EDGE II
Folio Number:  9A1545700P07
Download Date:  12/18/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/17/2018,812831.76102,0.00000,0.00000,0.00000,-2.93702,-2.93702
12/14/2018,837427.14518,-0.00002,0.00000,0.00000,-2.06105,-2.06105
12/13/2018,854977.83662,0.00000,72.28916,0.00000,-1.01341,-1.01341
12/12/2018,863731.74201,0.00000,72.28916,0.00000,1.14681,1.14681
12/11/2018,853937.87473,-0.00004,72.28916,0.00000,-0.24550,-0.24550
12/10/2018,855908.90287,0.00000,203.01730,0.00000,-0.62217,-0.62217
12/07/2018,861268.75784,0.00000,203.01730,0.00000,-1.16722,-1.16722
12/06/2018,871442.82420,0.00000,203.01730,0.00000,-1.67029,-1.67029
12/05/2018,886249.14596,0.00000,203.01730,0.00000,0.00000,0.00000
12/04/2018,886249.14596,0.00000,203.01730,0.00000,-3.07272,-3.07272
12/03/2018,914350.80544,0.00000,203.01730,0.00000,0.34741,0.34741
11/30/2018,911184.52236,0.00000,203.01730,0.00000,0.38852,0.38852
11/29/2018,907657.26279,0.00000,203.01730,0.00000,0.15455,0.15455
11/28/2018,906328.60276,0.00000,130.72814,0.00000,1.13611,1.13611
11/27/2018,896145.90333,0.00000,130.72814,0.00000,-0.28945,-0.28945
11/26/2018,898747.70388,0.00000,130.72814,0.00000,0.02112,0.02112
11/23/2018,898557.89869,0.00000,130.72814,0.00000,-0.91859,-0.91859
11/21/2018,906889.69899,-0.00003,130.72814,0.00000,1.73948,1.73948
11/20/2018,891314.27699,0.00000,198.50178,0.00000,-2.82647,-2.82647
11/19/2018,917376.25241,0.00000,67.77364,0.00000,-2.17040,-2.17040
11/16/2018,937730.18977,0.00000,67.77364,0.00000,-0.24338,-0.24338
