Client Name:  Marketocracy Capital Management, LLC
Folio Name:  EDGE II
Folio Number:  9A1545700P07
Download Date:  11/12/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/09/2018,969707.47985,0.00000,0.00000,0.00000,-1.80389,-1.80389
11/08/2018,987521.30424,0.00000,0.00000,0.00000,1.40348,1.40348
11/07/2018,973853.48250,0.00000,0.00000,0.00000,0.55433,0.55433
11/06/2018,968484.84457,0.00000,0.00000,0.00000,1.38724,1.38724
11/05/2018,955233.48819,0.00000,0.00000,0.00000,1.11177,1.11177
11/02/2018,944730.22897,0.00000,0.00000,0.00000,0.07631,0.07631
11/01/2018,944009.88493,0.00000,0.00000,0.00000,0.95998,0.95998
10/31/2018,935033.73989,0.00000,0.00000,0.00000,-0.63487,-0.63487
10/30/2018,941007.91650,0.00000,0.00000,0.00000,1.67087,1.67087
10/29/2018,925543.31638,0.00000,0.00000,0.00000,-1.08165,-1.08165
10/26/2018,935663.95092,0.00000,0.00000,0.00000,-1.41613,-1.41613
10/25/2018,949104.53670,0.00000,0.00000,0.00000,1.33456,1.33456
10/24/2018,936605.02165,0.00000,0.00000,0.00000,-2.91088,-2.91088
10/23/2018,964685.87132,0.00000,0.00000,0.00000,-0.81109,-0.81109
10/22/2018,972574.32179,0.00000,0.00000,0.00000,0.35792,0.35792
10/19/2018,969105.72999,0.00000,0.00000,0.00000,-1.68078,-1.68078
10/18/2018,985672.67954,0.00000,0.00000,0.00000,-2.37095,-2.37095
10/17/2018,1009610.01490,0.00000,0.00000,0.00000,-0.78054,-0.78054
10/16/2018,1017552.46960,0.00000,0.00000,0.00000,1.63340,1.63340
10/15/2018,1001198.91949,0.00000,0.00000,0.00000,0.56257,0.56257
10/12/2018,995597.95882,0.00000,0.00000,0.00000,0.71429,0.71429
10/11/2018,988536.96322,999999.99992,0.00000,0.00000,-1.14630,-1.14630
