Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FIVES
Folio Number:  9A1545700P08
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,1045874.27750,0.00000,0.00000,0.00000,0.27343,0.27343
06/07/2019,1043022.32606,-0.00051,0.00000,0.00000,0.65717,0.65717
06/06/2019,1036035.31646,0.00000,177.29862,0.00000,-0.89980,-0.89980
06/05/2019,1045443.77130,0.00000,177.29862,0.00000,-0.52018,-0.52018
06/04/2019,1050911.34825,0.00000,177.29862,0.00000,2.62971,2.62971
06/03/2019,1023979.04865,0.00006,177.29862,0.00000,1.57471,1.57471
05/31/2019,1008101.57925,0.00000,177.29862,0.00000,-1.95115,-1.95115
05/30/2019,1028166.05924,-0.00002,177.29862,0.00000,-0.96282,-0.96282
05/29/2019,1037953.44731,0.00000,387.26782,0.00000,-1.52296,-1.52296
05/28/2019,1054011.52388,0.00056,387.26782,0.00000,-0.31513,-0.31513
05/24/2019,1057344.74366,0.00000,387.26782,0.00000,0.11896,0.11896
05/23/2019,1056087.96812,0.00000,387.26782,0.00000,-2.34081,-2.34081
05/22/2019,1081410.77431,0.00000,387.26782,0.00000,-1.03608,-1.03608
05/21/2019,1092736.42120,-0.00009,387.26782,0.00000,1.14964,1.14964
05/20/2019,1080312.25942,0.00000,387.26782,0.00000,-0.42487,-0.42487
05/17/2019,1084923.39226,0.00000,387.26782,0.00000,-1.85598,-1.85598
05/16/2019,1105447.48839,0.00000,387.26782,0.00000,0.94829,0.94829
05/15/2019,1095059.45603,-0.00041,387.26782,0.00000,0.17158,0.17158
05/14/2019,1092927.79938,0.00137,642.53778,0.00000,1.21976,1.21976
05/13/2019,1079959.62916,-0.00025,432.56858,0.00000,-3.05337,-3.05337
05/10/2019,1113558.72928,0.00000,860.81334,0.00000,-0.28812,-0.28812
05/09/2019,1116778.90339,0.00000,860.81334,0.00000,0.03130,0.03130
05/08/2019,1116429.21216,0.00000,860.81334,0.00000,-0.48056,-0.48056
05/07/2019,1122001.70160,0.00000,683.51472,0.00000,-2.35033,-2.35033
05/06/2019,1149278.93402,0.00000,428.24476,0.00000,-0.38277,-0.38277
05/03/2019,1153696.61461,0.00025,428.24476,0.00000,0.88350,0.88350
05/02/2019,1143866.00313,0.00000,151.41634,0.00000,0.64982,0.64982
05/01/2019,1136479.98804,-0.00018,151.41634,0.00000,-1.47532,-1.47532
04/30/2019,1153500.04112,0.00034,151.41634,0.00000,-0.36895,-0.36895
04/29/2019,1157073.88557,-0.00013,849.74548,0.00000,0.37048,0.37048
04/26/2019,1152799.87668,-0.00031,849.74548,0.00000,0.49418,0.49418
04/25/2019,1147126.79442,0.00000,849.74548,0.00000,-0.84258,-0.84258
04/24/2019,1156881.58302,-0.00007,849.74548,0.00000,0.46435,0.46435
04/23/2019,1151255.92671,0.00000,1124.30435,0.00000,0.95812,0.95812
04/22/2019,1140319.52057,0.00000,1124.30435,0.00000,0.65005,0.65005
04/18/2019,1132947.53388,-0.00092,1124.30435,0.00000,-0.16313,-0.16313
04/17/2019,1134892.94334,0.00000,1031.88372,0.00000,-0.68745,-0.68745
04/16/2019,1142907.37073,0.00068,880.46738,0.00000,0.09865,0.09865
04/15/2019,1141780.17479,0.00000,880.46738,0.00000,-0.53807,-0.53807
04/12/2019,1147848.73399,0.00000,993.46670,0.00000,-0.10418,-0.10418
04/11/2019,1149046.80969,0.00000,993.46670,0.00000,-0.32197,-0.32197
04/10/2019,1152761.54566,0.00000,993.46670,0.00000,1.29002,1.29002
04/09/2019,1138067.44950,-0.00011,993.46670,0.00000,-1.81937,-1.81937
04/08/2019,1159449.79072,0.00000,718.90783,0.00000,-0.10688,-0.10688
04/05/2019,1160691.13225,0.00000,718.90783,0.00000,0.45706,0.45706
04/04/2019,1155406.98717,0.00000,718.90783,0.00000,0.55055,0.55055
04/03/2019,1149189.76544,0.00014,605.90851,0.00000,0.44279,0.44279
04/02/2019,1144142.01235,0.00000,584.89878,0.00000,-0.43809,-0.43809
04/01/2019,1149179.03348,0.00000,584.89878,0.00000,0.64693,0.64693
03/29/2019,1141788.64734,0.00005,584.89878,0.00000,-0.34318,-0.34318
03/28/2019,1145527.56251,0.00000,779.83020,0.00000,1.56517,1.56517
03/27/2019,1128447.30904,0.00000,194.93142,0.00000,-0.10960,-0.10960
03/26/2019,1129685.63386,0.00000,194.93142,0.00000,0.77433,0.77433
03/25/2019,1121003.82547,0.00000,194.93142,0.00000,0.32456,0.32456
03/22/2019,1117376.65151,0.00000,194.93142,0.00000,-3.83927,-3.83927
03/21/2019,1161996.32864,0.00000,194.93142,0.00000,1.88450,1.88450
03/20/2019,1140499.94693,0.00000,194.93142,0.00000,-0.77317,-0.77317
03/19/2019,1149388.14568,0.00000,194.93142,0.00000,-0.53753,-0.53753
03/18/2019,1155600.91787,0.00000,194.93142,0.00000,0.99952,0.99952
03/15/2019,1144162.85737,0.00004,194.93142,0.00000,-0.05498,-0.05498
03/14/2019,1144343.31109,0.00000,644.01620,0.00000,-0.75943,-0.75943
03/13/2019,1153300.18778,0.00000,449.08478,0.00000,0.52301,0.52301
03/12/2019,1147297.36064,0.00000,449.08478,0.00000,0.47072,0.47072
03/11/2019,1141919.97103,0.00000,449.08478,0.00000,1.00424,1.00424
03/08/2019,1130561.90058,0.00009,449.08478,0.00000,-0.26641,-0.26641
