Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FIVES
Folio Number:  9A1545700P08
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,1177323.60963,0.00000,0.00000,0.00000,1.52234,1.52234
02/14/2019,1159669.50389,0.00000,0.00000,0.00000,0.35039,0.35039
02/13/2019,1155620.31257,0.00009,0.00000,0.00000,0.17177,0.17177
02/12/2019,1153638.67817,-0.00055,0.00000,0.00000,0.61831,0.61831
02/11/2019,1146549.42766,-0.00013,0.00000,0.00000,0.78008,0.78008
02/08/2019,1137674.60103,0.00010,0.00000,0.00000,-1.16700,-1.16700
02/07/2019,1151108.02603,0.00000,0.00000,0.00000,-0.92325,-0.92325
02/06/2019,1161834.64410,0.00000,0.00000,0.00000,-1.20973,-1.20973
02/05/2019,1176061.80967,0.00000,0.00000,0.00000,0.10467,0.10467
02/04/2019,1174832.09482,0.00000,0.00000,0.00000,1.04574,1.04574
02/01/2019,1162673.59230,0.00014,0.00000,0.00000,1.04031,1.04031
01/31/2019,1150377.29452,-0.00007,325.38299,0.00000,1.28186,1.28186
01/30/2019,1135813.53002,0.00000,325.38299,0.00000,1.34729,1.34729
01/29/2019,1120709.94217,-0.00035,325.38299,0.00000,-0.46713,-0.46713
01/28/2019,1125971.25584,0.00000,325.38299,0.00000,-0.74371,-0.74371
01/25/2019,1134410.41807,0.00000,325.38299,0.00000,2.11971,2.11971
01/24/2019,1110856.53877,0.00000,325.38299,0.00000,-0.42578,-0.42578
01/23/2019,1115607.93465,0.00000,325.38299,0.00000,0.59807,0.59807
01/22/2019,1108973.58172,0.00000,325.38299,0.00000,-1.69321,-1.69321
01/18/2019,1128079.82545,0.00022,325.38299,0.00000,0.67016,0.67016
01/17/2019,1120541.42026,0.00000,352.04966,0.00000,1.52219,1.52219
01/16/2019,1104060.45792,0.00000,26.66667,0.00000,-0.65196,-0.65196
01/15/2019,1111305.85267,0.00000,26.66667,0.00000,0.71731,0.71731
