Client Name:  Marketocracy Capital Management, LLC
Folio Name:  SOF
Folio Number:  9A1545700P09
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,1113933.08866,0.00000,0.00000,0.00000,0.80715,0.80715
06/07/2019,1105013.98316,-0.00126,0.00000,0.00000,1.66062,1.66062
06/06/2019,1086802.19858,0.00000,161.40165,0.00000,-0.29519,-0.29519
06/05/2019,1090020.25339,0.00000,161.40165,0.00000,-0.96166,-0.96166
06/04/2019,1100605.89258,0.00000,161.40165,0.00000,3.25612,3.25612
06/03/2019,1065893.89493,-0.00002,161.40165,0.00000,0.49271,0.49271
05/31/2019,1058437.61039,0.00000,2390.86755,0.00000,-2.27887,-2.27887
05/30/2019,1083176.25585,0.00000,2390.86755,0.00000,-0.26340,-0.26340
05/29/2019,1086043.21349,0.00000,2390.86755,0.00000,-1.12121,-1.12121
05/28/2019,1098385.25731,0.00000,2390.86755,0.00000,-1.11710,-1.11710
05/24/2019,1110820.98584,0.00001,2390.86755,0.00000,0.48347,0.48347
05/23/2019,1105462.31792,0.00000,2393.42179,0.00000,-2.55798,-2.55798
05/22/2019,1134544.93470,0.00000,2393.42179,0.00000,-0.42162,-0.42162
05/21/2019,1139358.82433,0.00000,2393.42179,0.00000,3.29221,3.29221
05/20/2019,1102967.95949,0.00000,2393.42179,0.00000,-2.46818,-2.46818
05/17/2019,1130940.67668,0.00000,2393.42179,0.00000,-1.42436,-1.42436
05/16/2019,1147316.70538,0.00000,2393.42179,0.00000,0.75063,0.75063
05/15/2019,1138750.88209,0.00000,2393.42179,0.00000,-0.69495,-0.69495
05/14/2019,1146736.72366,0.00000,2393.42179,0.00000,2.02667,2.02667
05/13/2019,1123910.24329,0.00000,2393.42179,0.00000,-5.47078,-5.47078
05/10/2019,1189093.89127,0.00000,2393.42179,0.00000,0.61745,0.61745
05/09/2019,1181782.18209,0.00000,2393.42179,0.00000,-0.49562,-0.49562
05/08/2019,1190073.80628,0.00000,0.00000,0.00000,-0.27316,-0.27316
05/07/2019,1193333.55875,0.00000,0.00000,0.00000,-2.92271,-2.92271
05/06/2019,1229261.27696,0.00000,0.00000,0.00000,0.03316,0.03316
05/03/2019,1228853.78014,0.00000,0.00000,0.00000,2.75350,2.75350
05/02/2019,1195924.02199,0.00000,0.00000,0.00000,0.18571,0.18571
05/01/2019,1193707.19199,0.00000,0.00000,0.00000,-2.58736,-2.58736
04/30/2019,1225413.03940,0.00000,0.00000,0.00000,-0.82195,-0.82195
04/29/2019,1235320.98994,0.00000,247.75155,0.00000,0.20779,0.20779
04/26/2019,1232758.90765,39.62815,247.75155,0.00000,-0.50238,-0.50238
04/25/2019,1238944.77992,-39.63012,247.75155,0.00000,-0.68142,-0.68142
04/24/2019,1247447.01692,0.00000,287.38167,0.00000,-0.63326,-0.63326
04/23/2019,1255398.76284,0.00000,287.38167,0.00000,0.88165,0.88165
04/22/2019,1244424.76184,0.00000,287.38167,0.00000,-0.19800,-0.19800
04/18/2019,1246894.20559,0.00000,287.38167,0.00000,-0.32810,-0.32810
04/17/2019,1250999.61741,0.00000,287.38167,0.00000,-1.38087,-1.38087
04/16/2019,1268520.14886,0.00000,287.38167,0.00000,1.47867,1.47867
04/15/2019,1250032.00315,0.00000,287.38167,0.00000,-1.89131,-1.89131
04/12/2019,1274135.28038,0.00191,287.38167,0.00000,0.91364,0.91364
04/11/2019,1262597.09888,0.00000,287.38167,0.00000,-0.85447,-0.85447
04/10/2019,1273481.10986,0.00000,287.38167,0.00000,1.53025,1.53025
04/09/2019,1254283.09644,0.00000,287.38167,0.00000,-2.21940,-2.21940
04/08/2019,1282758.97788,0.00000,287.38167,0.00000,0.08187,0.08187
04/05/2019,1281709.42702,0.00000,287.38167,0.00000,1.11767,1.11767
04/04/2019,1267539.27528,0.00006,287.38167,0.00000,0.25753,0.25753
04/03/2019,1264223.34492,0.00000,346.60458,0.00000,1.56891,1.56891
04/02/2019,1244689.87123,0.00000,346.60458,0.00000,0.42866,0.42866
04/01/2019,1239375.71039,0.00000,346.60458,0.00000,0.72278,0.72278
03/29/2019,1230479.52427,0.00000,346.60458,0.00000,1.10503,1.10503
03/28/2019,1217027.16727,-0.00718,346.60458,0.00000,0.56387,0.56387
03/27/2019,1210057.59297,0.00000,490.27414,0.00000,-1.58869,-1.58869
03/26/2019,1229599.87923,0.00000,490.27414,0.00000,1.05194,1.05194
03/25/2019,1216794.77599,0.00006,490.27414,0.00000,-0.57210,-0.57210
03/22/2019,1223798.88918,-0.00076,490.27414,0.00000,-3.72109,-3.72109
03/21/2019,1270993.25648,-0.00023,613.58948,0.00000,1.42783,1.42783
03/20/2019,1253092.41194,0.00000,613.58948,0.00000,-0.03556,-0.03556
03/19/2019,1253538.43048,-0.00014,613.58948,0.00000,0.21472,0.21472
03/18/2019,1250704.14047,0.00000,760.68625,0.00000,0.57501,0.57501
03/15/2019,1243549.22588,571.64615,760.68625,0.00000,1.00717,1.00717
03/14/2019,1229788.23046,0.00005,1545.49639,0.00000,-1.00994,-1.00994
03/13/2019,1242079.79230,0.00000,1816.52345,0.00000,0.74828,0.74828
03/12/2019,1233148.08846,-0.00067,1509.54899,0.00000,0.61623,0.61623
03/11/2019,1225150.35306,-0.00033,1945.49428,0.00000,2.61639,2.61639
03/08/2019,1193448.98217,0.00010,2359.85163,0.00000,0.14388,0.14388
