Client Name:  Marketocracy Capital Management, LLC
Folio Name:  SOF
Folio Number:  9A1545700P09
Download Date:  02/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/15/2019,1193891.48606,0.00000,0.00000,0.00000,1.43410,1.43410
02/14/2019,1177011.94332,-0.00081,0.00000,0.00000,0.07943,0.07943
02/13/2019,1175801.93667,0.00000,275.87356,0.00000,0.32042,0.32042
02/12/2019,1172045.57882,0.00000,275.87356,0.00000,2.64176,2.64176
02/11/2019,1141872.72291,0.00000,275.87356,0.00000,-0.80123,-0.80123
02/08/2019,1151097.90648,0.00000,275.87356,0.00000,1.13142,1.13142
02/07/2019,1138492.64763,0.00000,0.00000,0.00000,-2.22049,-2.22049
02/06/2019,1164346.90363,0.00000,0.00000,0.00000,0.59940,0.59940
02/05/2019,1157409.38623,0.00000,0.00000,0.00000,1.21792,1.21792
02/04/2019,1143482.72587,0.00000,0.00000,0.00000,1.37773,1.37773
02/01/2019,1127942.76556,0.00000,0.00000,0.00000,0.25489,0.25489
01/31/2019,1125075.01375,-0.00046,0.00000,0.00000,0.30152,0.30152
01/30/2019,1121447.08403,-0.00417,245.85126,0.00000,1.67873,1.67873
01/29/2019,1102927.83464,0.00000,245.85126,0.00000,-1.65632,-1.65632
01/28/2019,1121507.63066,0.00000,245.85126,0.00000,-0.44002,-0.44002
01/25/2019,1126465.41702,0.00000,245.85126,0.00000,3.43660,3.43660
01/24/2019,1089031.32622,0.00000,245.85126,0.00000,1.12537,1.12537
01/23/2019,1076909.39440,0.00000,245.85126,0.00000,0.44911,0.44911
01/22/2019,1072093.37836,0.00000,245.85126,0.00000,-2.64568,-2.64568
01/18/2019,1101235.01362,0.00000,245.85126,0.00000,2.34796,2.34796
01/17/2019,1075965.98477,0.00000,245.85126,0.00000,0.51398,0.51398
01/16/2019,1070462.74380,0.00000,245.85126,0.00000,0.58476,0.58476
01/15/2019,1064238.03873,0.00000,245.85126,0.00000,1.53996,1.53996
