Client Name:  Marketocracy Capital Management, LLC
Folio Name:  themagician_TMF
Folio Number:  9A1546200P01
Download Date:  03/10/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/09/2020,5375110.91669,0.00000,0.00000,0.00000,-8.58337,-8.58337
03/06/2020,5879795.29490,0.00000,0.00000,0.00000,-2.42623,-2.42623
03/05/2020,6026000.10638,0.00000,0.00000,0.00000,-3.35449,-3.35449
03/04/2020,6235157.58996,0.00000,0.00000,0.00000,1.64572,1.64572
03/03/2020,6134205.48959,0.00000,0.00000,0.00000,-2.39156,-2.39156
03/02/2020,6284502.87241,0.00000,0.00000,0.00000,4.31852,4.31852
02/28/2020,6024340.67118,-0.00001,0.00000,0.00000,-0.88873,-0.88873
02/27/2020,6077479.21064,0.00000,881.40913,0.00000,-6.60239,-6.60239
02/26/2020,6507166.05666,0.00000,881.40913,0.00000,-1.82650,-1.82650
02/25/2020,6628247.18979,0.00000,881.40913,0.00000,-2.74260,-2.74260
02/24/2020,6815184.57414,0.00000,881.40913,0.00000,-4.12760,-4.12760
02/21/2020,7108636.74118,0.00000,881.40913,0.00000,-0.70362,-0.70362
02/20/2020,7159015.47463,0.00000,881.40913,0.00000,-0.24009,-0.24009
02/19/2020,7176247.00144,0.00000,881.40913,0.00000,2.43817,2.43817
02/18/2020,7005421.60645,0.00000,881.40913,0.00000,1.26645,1.26645
02/14/2020,6917800.28500,0.00000,881.40913,0.00000,0.32426,0.32426
02/13/2020,6895438.42118,0.00132,881.40913,0.00000,0.89943,0.89943
02/12/2020,6833259.47271,0.00000,1585.66099,0.00000,0.17744,0.17744
02/11/2020,6821153.32203,0.00000,1585.66099,0.00000,0.61404,0.61404
02/10/2020,6780396.32454,0.00005,704.25186,0.00000,1.09505,1.09505
02/07/2020,6706873.02522,0.00000,775.43170,0.00000,-0.51797,-0.51797
02/06/2020,6742501.53667,0.00000,71.17984,0.00000,0.81968,0.81968
02/05/2020,6687683.52209,0.00000,71.17984,0.00000,-4.64218,-4.64218
02/04/2020,7013254.46998,0.00000,71.17984,0.00000,4.26724,4.26724
02/03/2020,6726227.29865,0.00000,71.17984,0.00000,4.23671,4.23671
01/31/2020,6452836.60895,0.00000,71.17984,0.00000,-1.19845,-1.19845
01/30/2020,6531109.30604,0.00000,71.17984,0.00000,2.07783,2.07783
01/29/2020,6398164.91335,0.00000,71.17984,0.00000,-0.16941,-0.16941
01/28/2020,6409022.87788,0.00000,71.17984,0.00000,1.22491,1.22491
01/27/2020,6331467.41868,0.00000,71.17984,0.00000,-1.40255,-1.40255
01/24/2020,6421533.82766,0.00000,71.17984,0.00000,-1.88189,-1.88189
01/23/2020,6544699.29336,0.00000,71.17984,0.00000,0.20064,0.20064
01/22/2020,6531594.10920,0.00000,71.17984,0.00000,0.61667,0.61667
01/21/2020,6491561.97814,0.00000,71.17984,0.00000,0.83139,0.83139
01/17/2020,6438035.88651,0.00000,71.17984,0.00000,0.27703,0.27703
01/16/2020,6420249.72867,-0.00055,71.17984,0.00000,-0.23385,-0.23385
01/15/2020,6430991.64939,0.00000,4378.19092,0.00000,-0.43163,-0.43163
01/14/2020,6458889.03038,0.00000,4378.19092,0.00000,2.47677,2.47677
01/13/2020,6302677.59162,0.00000,4378.19092,0.00000,2.51696,2.51696
01/10/2020,6147829.25501,0.00000,4378.19092,0.00000,-0.55876,-0.55876
01/09/2020,6182398.66016,0.00000,4378.19092,0.00000,-0.11051,-0.11051
01/08/2020,6189314.56317,0.00000,4307.01108,0.00000,1.05536,1.05536
01/07/2020,6124632.07566,0.00000,4307.01108,0.00000,0.39659,0.39659
01/06/2020,6100421.16171,0.00000,4307.01108,0.00000,0.23634,0.23634
01/03/2020,6086026.97224,0.00000,4307.01108,0.00000,-0.14786,-0.14786
01/02/2020,6095045.64767,0.00000,4307.01108,0.00000,1.16419,1.16419
12/31/2019,6024854.64545,0.00000,4307.01108,0.00000,1.19015,1.19015
12/30/2019,5953942.49937,0.00000,4307.01108,0.00000,-1.06607,-1.06607
12/27/2019,6018146.23132,0.00000,4307.01108,0.00000,-0.41461,-0.41461
12/26/2019,6043220.11990,0.00000,4307.01108,0.00000,0.24152,0.24152
12/24/2019,6028649.09347,0.00000,4307.01108,0.00000,0.22890,0.22890
12/23/2019,6014871.32659,0.00000,4307.01108,0.00000,0.20372,0.20372
12/20/2019,6002634.27120,0.00000,4307.01108,0.00000,0.26817,0.26817
12/19/2019,5986568.48627,0.00000,4307.01108,0.00000,0.87859,0.87859
12/18/2019,5934391.46533,0.00000,4307.01108,0.00000,0.03130,0.03130
12/17/2019,5932533.07526,0.00010,4307.01108,0.00000,-0.06139,-0.06139
12/16/2019,5935640.53157,0.00000,4846.65401,0.00000,0.64689,0.64689
12/13/2019,5897459.29752,0.00000,4846.65401,0.00000,-0.18468,-0.18468
12/12/2019,5912686.89122,0.00000,539.64293,0.00000,0.74446,0.74446
12/11/2019,5868990.59825,0.00000,539.64293,0.00000,0.09094,0.09094
12/10/2019,5863657.89260,0.00000,539.64293,0.00000,-0.32839,-0.32839
12/09/2019,5882978.80372,0.00000,539.64293,0.00000,0.61531,0.61531
12/06/2019,5846998.39478,0.00000,539.64293,0.00000,0.45315,0.45315
