Client Name:  Marketocracy Capital Management, LLC
Folio Name:  themagician_TMF
Folio Number:  9A1546200P01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,7131428.61395,0.00000,0.00000,0.00000,2.18598,2.18598
07/01/2020,6978871.85731,0.00000,0.00000,0.00000,1.72227,1.72227
06/30/2020,6860711.53816,0.00000,0.00000,0.00000,2.22496,2.22496
06/29/2020,6711386.05239,0.00000,0.00000,0.00000,2.29063,2.29063
06/26/2020,6561095.87618,0.00000,0.00000,0.00000,-2.19303,-2.19303
06/25/2020,6708208.94324,0.00000,0.00000,0.00000,0.88398,0.88398
06/24/2020,6649429.14379,0.00000,0.00000,0.00000,-2.35327,-2.35327
06/23/2020,6809679.57311,0.00000,0.00000,0.00000,0.10232,0.10232
06/22/2020,6802719.21568,0.00000,0.00000,0.00000,0.85555,0.85555
06/19/2020,6745012.10641,0.00000,0.00000,0.00000,-1.19064,-1.19064
06/18/2020,6826288.33418,0.00000,0.00000,0.00000,0.88652,0.88652
06/17/2020,6766303.43176,0.00000,0.00000,0.00000,0.33623,0.33623
06/16/2020,6743629.07307,-0.00025,0.00000,0.00000,1.30660,1.30660
06/15/2020,6656070.32642,0.00000,583.06922,0.00000,2.58505,2.58505
06/12/2020,6488329.00836,0.00000,583.06922,0.00000,-0.63647,-0.63647
06/11/2020,6529893.80937,0.00000,583.06922,0.00000,-4.60350,-4.60350
06/10/2020,6845031.60379,0.00000,583.06922,0.00000,1.35078,1.35078
06/09/2020,6753794.52166,0.00000,583.06922,0.00000,-0.97682,-0.97682
06/08/2020,6820423.49602,0.00000,583.06922,0.00000,2.48518,2.48518
06/05/2020,6655020.06987,0.00000,583.06922,0.00000,1.32158,1.32158
06/04/2020,6568208.52555,0.00000,583.06922,0.00000,-0.28576,-0.28576
06/03/2020,6587033.60750,0.00000,583.06922,0.00000,0.76993,0.76993
06/02/2020,6536700.89083,0.00000,583.06922,0.00000,0.15627,0.15627
06/01/2020,6526500.98624,0.00000,583.06922,0.00000,3.04312,3.04312
