Client Name:  Marketocracy Capital Management, LLC
Folio Name:  themagician_TMsF
Folio Number:  9A1546200P02
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,712822.96179,0.00000,0.00000,0.00000,0.08255,0.08255
07/01/2020,712235.01908,0.00000,0.00000,0.00000,1.90377,1.90377
06/30/2020,698929.03576,0.00000,0.00000,0.00000,0.32397,0.32397
06/29/2020,696672.02572,0.00000,0.00000,0.00000,-1.15029,-1.15029
06/26/2020,704779.00278,0.00000,0.00000,0.00000,-0.25282,-0.25282
06/25/2020,706565.37265,0.00000,0.00000,0.00000,0.12743,0.12743
06/24/2020,705666.13253,0.00000,0.00000,0.00000,-0.84188,-0.84188
06/23/2020,711657.40471,0.00000,0.00000,0.00000,-0.32156,-0.32156
06/22/2020,713953.20058,0.00000,0.00000,0.00000,0.22010,0.22010
06/19/2020,712385.25942,0.00000,0.00000,0.00000,0.15109,0.15109
06/18/2020,711310.51623,0.00000,0.00000,0.00000,1.75491,1.75491
06/17/2020,699042.93243,0.00000,0.00000,0.00000,-0.51143,-0.51143
06/16/2020,702636.44028,-0.00016,0.00000,0.00000,2.31807,2.31807
06/15/2020,686556.27288,0.00000,161.58597,0.00000,0.01210,0.01210
06/12/2020,686473.16223,0.00000,161.58597,0.00000,0.23856,0.23856
06/11/2020,684838.99760,0.00000,161.58597,0.00000,-1.40561,-1.40561
06/10/2020,694604.73656,0.00000,161.58597,0.00000,-0.17098,-0.17098
06/09/2020,695794.71592,0.00000,161.58597,0.00000,-0.13461,-0.13461
06/08/2020,696732.78499,0.00000,161.58597,0.00000,1.67195,1.67195
06/05/2020,685272.67063,0.00000,161.58597,0.00000,0.28541,0.28541
06/04/2020,683321.93727,0.00000,161.58597,0.00000,-0.26297,-0.26297
06/03/2020,685124.05302,0.00000,161.58597,0.00000,-1.17503,-1.17503
06/02/2020,693272.08195,0.00000,161.58597,0.00000,-0.25621,-0.25621
06/01/2020,695053.28190,0.00000,161.58597,0.00000,0.66881,0.66881
