Client Name:  Marketocracy Capital Management, LLC
Folio Name:  themagician_TMF1
Folio Number:  9A1546200P03
Download Date:  03/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/28/2019,2810556.20586,0.00001,0.00000,0.00000,1.59170,1.59170
02/27/2019,2766521.43313,0.00000,0.00000,0.00000,0.51821,0.51821
02/26/2019,2752259.03243,0.00000,0.00000,0.00000,-0.29854,-0.29854
02/25/2019,2760500.23474,0.00000,0.00000,0.00000,0.00842,0.00842
02/22/2019,2760267.74365,0.00000,0.00000,0.00000,1.94174,1.94174
02/21/2019,2707691.44420,0.00000,0.00000,0.00000,-0.90649,-0.90649
02/20/2019,2732460.89961,0.00000,0.00000,0.00000,-0.17675,-0.17675
02/19/2019,2737299.05496,0.00000,0.00000,0.00000,1.00317,1.00317
02/15/2019,2710111.89120,0.00000,0.00000,0.00000,0.74399,0.74399
02/14/2019,2690097.80497,0.00000,0.00000,0.00000,0.26338,0.26338
02/13/2019,2683031.27227,0.00000,0.00000,0.00000,-0.98486,-0.98486
02/12/2019,2709718.33578,0.00000,0.00000,0.00000,0.81481,0.81481
02/11/2019,2687817.82786,0.00000,0.00000,0.00000,0.38475,0.38475
02/08/2019,2677515.97638,0.00000,0.00000,0.00000,0.21501,0.21501
02/07/2019,2671771.38464,0.00000,0.00000,0.00000,-1.97810,-1.97810
02/06/2019,2725688.13781,0.00000,0.00000,0.00000,-0.20778,-0.20778
02/05/2019,2731363.33541,0.00000,0.00000,0.00000,1.06178,1.06178
02/04/2019,2702666.85454,0.00000,0.00000,0.00000,0.72602,0.72602
02/01/2019,2683186.33750,0.00000,0.00000,0.00000,0.95213,0.95213
01/31/2019,2657879.94269,0.00000,0.00000,0.00000,-0.18111,-0.18111
01/30/2019,2662702.44732,0.00000,0.00000,0.00000,1.84998,1.84998
01/29/2019,2614337.81330,0.00000,0.00000,0.00000,-1.22754,-1.22754
01/28/2019,2646828.76804,0.00000,0.00000,0.00000,0.04668,0.04668
