Client Name:  Marketocracy Capital Management, LLC
Folio Name:  themagician_TMF1
Folio Number:  9A1546200P03
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,4035133.74308,0.00000,0.00000,0.00000,1.87740,1.87740
07/01/2020,3960774.08642,0.00000,0.00000,0.00000,2.08189,2.08189
06/30/2020,3879996.97597,-0.00002,0.00000,0.00000,2.67134,2.67134
06/29/2020,3779015.09771,0.00000,30.62723,0.00000,1.64853,1.64853
06/26/2020,3717726.91751,0.00000,30.62723,0.00000,-2.13339,-2.13339
06/25/2020,3798770.30864,0.00000,30.62723,0.00000,1.13381,1.13381
06/24/2020,3756181.91308,0.00000,30.62723,0.00000,-2.10390,-2.10390
06/23/2020,3836907.12655,0.00000,30.62723,0.00000,0.38703,0.38703
06/22/2020,3822114.13844,0.00000,30.62723,0.00000,0.42246,0.42246
06/19/2020,3806034.84710,0.00000,30.62723,0.00000,-0.29596,-0.29596
06/18/2020,3817332.77820,0.00000,30.62723,0.00000,0.51803,0.51803
06/17/2020,3797659.74229,0.00000,30.62723,0.00000,0.74591,0.74591
06/16/2020,3769542.21890,-0.00022,30.62723,0.00000,1.01137,1.01137
06/15/2020,3731436.01998,0.00000,394.06946,0.00000,2.20027,2.20027
06/12/2020,3651093.27286,0.00000,394.06946,0.00000,-0.72421,-0.72421
06/11/2020,3677761.31244,0.00000,363.44223,0.00000,-3.48884,-3.48884
06/10/2020,3810724.02595,0.00000,363.44223,0.00000,1.72678,1.72678
06/09/2020,3746031.87221,0.00000,363.44223,0.00000,-0.15876,-0.15876
06/08/2020,3751989.03961,0.00000,363.44223,0.00000,1.93944,1.93944
06/05/2020,3680599.00535,0.00000,363.44223,0.00000,1.36829,1.36829
06/04/2020,3630912.57095,0.00000,363.44223,0.00000,-0.64010,-0.64010
06/03/2020,3654306.04386,0.00000,363.44223,0.00000,0.36094,0.36094
06/02/2020,3641162.50192,0.00000,363.44223,0.00000,0.12050,0.12050
06/01/2020,3636779.85955,0.00000,363.44223,0.00000,2.18453,2.18453
