Client Name:  Marketocracy Capital Management, LLC
Folio Name:  themagician_MMC
Folio Number:  9A1546200P04
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/01/2019,93690.76421,0.00000,0.00000,0.00000,0.38328,0.38328
03/29/2019,93333.03617,0.00000,0.00000,0.00000,-3.59296,-3.59296
03/28/2019,96811.42915,0.00000,0.00000,0.00000,0.67317,0.67317
03/27/2019,96164.08399,0.00000,0.00000,0.00000,-0.04111,-0.04111
03/26/2019,96203.63175,0.00000,0.00000,0.00000,-0.99552,-0.99552
03/25/2019,97170.99105,0.00000,0.00000,0.00000,-2.46794,-2.46794
03/22/2019,99629.79362,0.00000,0.00000,0.00000,-1.82686,-1.82686
03/21/2019,101483.75762,0.00000,0.00000,0.00000,-0.77549,-0.77549
03/20/2019,102276.90895,0.00000,0.00000,0.00000,1.15604,1.15604
03/19/2019,101108.06106,0.00000,0.00000,0.00000,-0.77595,-0.77595
03/18/2019,101898.74324,0.00000,0.00000,0.00000,5.43048,5.43048
03/15/2019,96650.17225,0.00000,0.00000,0.00000,-0.34758,-0.34758
03/14/2019,96987.28015,0.00000,0.00000,0.00000,-0.43216,-0.43216
03/13/2019,97408.23994,0.00000,0.00000,0.00000,-2.48361,-2.48361
03/12/2019,99889.09166,0.00000,0.00000,0.00000,2.35424,2.35424
03/11/2019,97591.55545,0.00000,0.00000,0.00000,0.98025,0.98025
03/08/2019,96644.20287,0.00000,0.00000,0.00000,-0.62104,-0.62104
03/07/2019,97248.15502,0.00000,0.00000,0.00000,2.33432,2.33432
03/06/2019,95029.85692,0.00000,0.00000,0.00000,-3.03749,-3.03749
03/05/2019,98006.80169,0.00000,0.00000,0.00000,-0.58386,-0.58386
03/04/2019,98582.38564,0.00000,0.00000,0.00000,1.92345,1.92345
03/01/2019,96721.98798,0.00000,0.00000,0.00000,-1.05867,-1.05867
