Client Name:  Marketocracy Capital Management, LLC
Folio Name:  themagician_MMC
Folio Number:  9A1546200P04
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,50360.75449,0.00000,0.00000,0.00000,-0.44160,-0.44160
07/01/2020,50584.13578,0.00000,0.00000,0.00000,-4.35507,-4.35507
06/30/2020,52887.41844,0.00000,0.00000,0.00000,3.44459,3.44459
06/29/2020,51126.32390,0.00000,0.00000,0.00000,2.05147,2.05147
06/26/2020,50098.56900,0.00000,0.00000,0.00000,-2.60163,-2.60163
06/25/2020,51436.76418,0.00000,0.00000,0.00000,2.17059,2.17059
06/24/2020,50344.00066,0.00000,0.00000,0.00000,-1.59330,-1.59330
06/23/2020,51159.11867,0.00000,0.00000,0.00000,-0.86997,-0.86997
06/22/2020,51608.09329,0.00000,0.00000,0.00000,-0.49803,-0.49803
06/19/2020,51866.40421,0.00000,0.00000,0.00000,-1.21579,-1.21579
06/18/2020,52504.75013,0.00000,0.00000,0.00000,-0.51692,-0.51692
06/17/2020,52777.56957,0.00000,0.00000,0.00000,0.56494,0.56494
06/16/2020,52481.08218,0.00000,0.00000,0.00000,1.92348,1.92348
06/15/2020,51490.66930,0.00000,0.00000,0.00000,0.55812,0.55812
06/12/2020,51204.88365,0.00000,0.00000,0.00000,0.45741,0.45741
06/11/2020,50971.73288,0.00000,0.00000,0.00000,-5.30748,-5.30748
06/10/2020,53828.67926,0.00000,0.00000,0.00000,-1.89648,-1.89648
06/09/2020,54869.26223,0.00000,0.00000,0.00000,2.88831,2.88831
06/08/2020,53328.95767,0.00000,0.00000,0.00000,3.35726,3.35726
06/05/2020,51596.72093,0.00000,0.00000,0.00000,1.25638,1.25638
06/04/2020,50956.51464,0.00000,0.00000,0.00000,0.80762,0.80762
06/03/2020,50548.27468,0.00000,0.00000,0.00000,-1.13326,-1.13326
06/02/2020,51127.68227,0.00000,0.00000,0.00000,0.54743,0.54743
06/01/2020,50849.31987,0.00000,0.00000,0.00000,0.75640,0.75640
