Client Name:  Marketocracy Capital Management, LLC
Folio Name:  befalas_PGF
Folio Number:  9A1546300H01
Download Date:  05/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/03/2019,3003765.69492,0.00000,0.00000,0.00000,1.44335,1.44335
05/02/2019,2961027.57854,0.00000,0.00000,0.00000,-0.34668,-0.34668
05/01/2019,2971328.54930,-0.00002,0.00000,0.00000,-0.61062,-0.61062
04/30/2019,2989537.72194,-0.00009,45.92221,0.00000,-0.52350,-0.52350
04/29/2019,3002991.84793,0.00000,2324.56629,0.00000,0.19977,0.19977
04/26/2019,2997000.20597,0.00000,2324.56629,0.00000,0.19754,0.19754
04/25/2019,2991087.07507,0.00000,2324.56629,0.00000,0.08433,0.08433
04/24/2019,2988564.88828,0.00000,2324.56629,0.00000,-0.62703,-0.62703
04/23/2019,3007436.92912,0.00000,2324.56629,0.00000,1.33885,1.33885
04/22/2019,2967673.15500,0.00000,2324.56629,0.00000,0.00260,0.00260
04/18/2019,2969874.52959,0.00000,45.92221,0.00000,-0.53779,-0.53779
04/17/2019,2985932.80695,0.00000,45.92221,0.00000,-1.10204,-1.10204
04/16/2019,3019252.07758,0.00000,0.00000,0.00000,-0.06527,-0.06527
04/15/2019,3021224.08963,0.00000,0.00000,0.00000,-0.24356,-0.24356
04/12/2019,3028600.43131,0.00007,0.00000,0.00000,0.38888,0.38888
04/11/2019,3016353.62345,0.00000,514.73011,0.00000,-0.48326,-0.48326
04/10/2019,3031003.89078,0.00000,514.73011,0.00000,1.55369,1.55369
04/09/2019,2984624.09920,0.00000,514.73011,0.00000,-0.72726,-0.72726
04/08/2019,3006492.92867,0.00000,514.73011,0.00000,0.24714,0.24714
04/05/2019,2999079.87345,0.00000,514.73011,0.00000,1.17725,1.17725
04/04/2019,2964178.13611,0.00000,514.73011,0.00000,0.18126,0.18126
04/03/2019,2958813.94266,0.00000,514.73011,0.00000,0.31841,0.31841
04/02/2019,2949421.11814,0.00000,514.73011,0.00000,-0.12566,-0.12566
