Client Name:  Marketocracy Capital Management, LLC
Folio Name:  befalas_PGF
Folio Number:  9A1546300H01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,3113386.34367,0.00000,0.00000,0.00000,0.92386,0.92386
07/01/2020,3084886.34400,0.00008,0.00000,0.00000,0.67745,0.67745
06/30/2020,3064070.86413,0.00000,57.53839,0.00000,1.36331,1.36331
06/29/2020,3022859.09116,0.00000,57.53839,0.00000,1.24870,1.24870
06/26/2020,2985577.50475,0.00000,57.53839,0.00000,-2.34495,-2.34495
06/25/2020,3057270.35336,0.00000,57.53839,0.00000,1.21609,1.21609
06/24/2020,3020537.23076,0.00000,57.53839,0.00000,-2.47881,-2.47881
06/23/2020,3097316.38499,0.00000,56.23678,0.00000,0.73759,0.73759
06/22/2020,3074637.71647,0.00000,56.23678,0.00000,-0.00676,-0.00676
06/19/2020,3074901.81323,0.00000,0.00000,0.00000,0.97293,0.97293
06/18/2020,3045273.33461,0.00000,0.00000,0.00000,-0.54557,-0.54557
06/17/2020,3061978.58321,0.00000,0.00000,0.00000,-0.81661,-0.81661
06/16/2020,3087188.72360,0.00001,0.00000,0.00000,1.96109,1.96109
06/15/2020,3027621.07879,0.00000,189.41907,0.00000,1.00955,1.00955
06/12/2020,2997359.31557,0.00000,189.41907,0.00000,0.87316,0.87316
06/11/2020,2971412.47542,0.00000,189.41907,0.00000,-4.84329,-4.84329
06/10/2020,3122661.25629,0.00000,189.41907,0.00000,-0.96191,-0.96191
06/09/2020,3152992.07879,0.00000,189.41907,0.00000,-1.22871,-1.22871
06/08/2020,3192217.52265,-0.00024,189.41907,0.00000,1.50089,1.50089
06/05/2020,3142514.97678,0.00000,2685.84182,0.00000,1.65790,1.65790
06/04/2020,3091221.13277,0.00000,2685.84182,0.00000,-0.04352,-0.04352
06/03/2020,3092568.28764,0.00000,2685.84182,0.00000,0.90586,0.90586
06/02/2020,3064781.33167,0.00000,2685.84182,0.00000,0.05607,0.05607
06/01/2020,3063062.34526,-0.00002,2685.84182,0.00000,-0.11343,-0.11343
