Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: thegambler_SVP
Folio Number:  9A1546800D01
Download Date:  03/10/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/09/2020,1098828.17499,0.00000,0.00000,0.00000,-4.45263,-4.45263
03/06/2020,1150034.98918,-0.00011,0.00000,0.00000,-1.68748,-1.68748
03/05/2020,1169751.49709,0.00000,23.15560,0.00000,-1.43163,-1.43163
03/04/2020,1186741.59521,0.00000,23.15560,0.00000,2.32098,2.32098
03/03/2020,1159821.82868,0.00018,23.15560,0.00000,-1.57162,-1.57162
03/02/2020,1178320.51608,0.00000,43.92433,0.00000,2.20676,2.20676
02/28/2020,1152878.30751,0.00000,43.92433,0.00000,0.43200,0.43200
02/27/2020,1147919.14967,0.00000,43.92433,0.00000,-2.30302,-2.30302
02/26/2020,1174980.23826,0.00000,43.92433,0.00000,-0.09127,-0.09127
02/25/2020,1176053.67436,0.00000,43.92433,0.00000,-1.84188,-1.84188
02/24/2020,1198122.51801,0.00000,43.92433,0.00000,-2.28404,-2.28404
02/21/2020,1226128.84559,0.00088,43.92433,0.00000,-1.09061,-1.09061
02/20/2020,1239613.63819,0.00000,79.38716,0.00000,-0.40843,-0.40843
02/19/2020,1244655.61805,0.00000,121.47443,0.00000,0.62308,0.62308
02/18/2020,1236947.67290,0.00076,121.47443,0.00000,0.15301,0.15301
02/14/2020,1234969.64228,-0.00003,209.57837,0.00000,0.68005,0.68005
02/13/2020,1226607.87112,0.00000,228.29403,0.00000,0.27809,0.27809
02/12/2020,1223237.65765,0.00000,196.31636,0.00000,0.99628,0.99628
02/11/2020,1211169.12398,0.00000,196.31636,0.00000,0.11259,0.11259
02/10/2020,1209806.82942,0.00005,196.31636,0.00000,0.85605,0.85605
02/07/2020,1199509.47414,0.00098,223.30064,0.00000,-0.15216,-0.15216
