Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: thegambler_SVP
Folio Number:  9A1546800D01
Download Date:  04/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/29/2019,1071746.23458,0.00289,0.00000,0.00000,0.88261,0.88261
03/28/2019,1062363.24893,0.00367,6.44204,0.00000,0.46348,0.46348
03/27/2019,1057462.04897,0.00000,6.44204,0.00000,-1.25404,-1.25404
03/26/2019,1070891.49433,-0.00325,6.44204,0.00000,0.36653,0.36653
03/25/2019,1066980.62509,-0.00408,6.44204,0.00000,0.45098,0.45098
03/22/2019,1062190.36778,0.00047,6.44204,0.00000,-2.59882,-2.59882
03/21/2019,1090531.49887,0.00019,6.44204,0.00000,1.47318,1.47318
03/20/2019,1074699.13638,0.00278,6.44204,0.00000,-0.17478,-0.17478
03/19/2019,1076580.77651,0.00000,6.44204,0.00000,0.20942,0.20942
03/18/2019,1074330.92019,0.00470,6.44204,0.00000,0.13300,0.13300
03/15/2019,1072903.93906,0.00513,6.44204,0.00000,0.43833,0.43833
03/14/2019,1067231.12402,-0.00390,996.91820,0.00000,0.30503,0.30503
03/13/2019,1063945.38587,-0.00050,1034.20260,0.00000,-0.56719,-0.56719
03/12/2019,1070020.26449,-0.00073,1034.20260,0.00000,0.62263,0.62263
03/11/2019,1063392.79773,0.00000,1034.20260,0.00000,2.27901,2.27901
03/08/2019,1039601.92799,0.00000,1107.20504,0.00000,-0.29375,-0.29375
03/07/2019,1041677.51094,0.00000,2097.68120,0.00000,-0.67326,-0.67326
03/06/2019,1048752.48282,713.70669,2097.68120,0.00000,-0.95108,-0.95108
03/05/2019,1058125.72435,-713.70713,2097.68120,0.00000,0.46016,0.46016
03/04/2019,1053267.73687,-0.00291,2811.38881,0.00000,-1.40234,-1.40234
03/01/2019,1068288.16461,0.00248,2811.38881,0.00000,0.12555,0.12555
02/28/2019,1066945.03821,-0.00277,2811.38881,0.00000,0.38299,0.38299
02/27/2019,1062863.60911,0.00273,2811.38881,0.00000,0.58964,0.58964
02/26/2019,1056616.79033,0.00134,2811.38881,0.00000,-0.34706,-0.34706
