Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: thegambler_SVP
Folio Number:  9A1546800D01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1391457.64449,0.00001,0.00000,0.00000,0.35618,0.35618
07/01/2020,1386519.15089,-0.00071,0.00000,0.00000,1.39363,1.39363
06/30/2020,1367432.25344,0.00005,29.48125,0.00000,1.30190,1.30190
06/29/2020,1349789.88814,0.00000,97.66376,0.00000,0.07887,0.07887
06/26/2020,1348726.11583,-0.00109,97.66376,0.00000,-0.77966,-0.77966
06/25/2020,1359305.57928,-0.00001,117.07480,0.00000,1.03857,1.03857
06/24/2020,1345312.32831,0.00000,136.92794,0.00000,-1.60604,-1.60604
06/23/2020,1367273.43205,0.00000,136.92794,0.00000,0.07925,0.07925
06/22/2020,1366190.67478,0.00000,136.92794,0.00000,1.25856,1.25856
06/19/2020,1349208.39480,0.00000,136.92794,0.00000,0.14301,0.14301
06/18/2020,1347281.47696,0.00191,136.92794,0.00000,0.85391,0.85391
06/17/2020,1335828.48850,0.00000,181.58650,0.00000,0.45688,0.45688
06/16/2020,1329752.33905,0.00000,181.58650,0.00000,0.92939,0.92939
06/15/2020,1317505.89121,-0.00001,181.58650,0.00000,1.66197,1.66197
06/12/2020,1295830.78919,-0.00002,315.12639,0.00000,1.12541,1.12541
06/11/2020,1281392.30232,-0.00067,329.03109,0.00000,-3.15344,-3.15344
06/10/2020,1323161.49556,-0.00055,294.16076,0.00000,0.82124,0.82124
06/09/2020,1312311.56204,-0.00001,363.89451,0.00000,0.30551,0.30551
06/08/2020,1308333.30440,0.00000,344.04137,0.00000,0.46197,0.46197
06/05/2020,1302315.38266,0.00000,344.04137,0.00000,0.77297,0.77297
06/04/2020,1292323.45370,0.00000,344.04137,0.00000,-1.50258,-1.50258
06/03/2020,1312048.23593,-0.00043,338.97169,0.00000,0.10661,0.10661
06/02/2020,1310642.37802,-0.00012,347.13688,0.00000,0.79345,0.79345
06/01/2020,1300313.43990,-0.00057,355.97320,0.00000,0.22960,0.22960
