Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_FDF
Folio Number:  9A1547000101
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,5172462.36438,0.00060,0.00000,0.00000,-0.19365,-0.19365
04/12/2019,5182498.24870,0.00020,0.00000,0.00000,-0.38848,-0.38848
04/11/2019,5201388.57289,0.00000,1321.08598,0.00000,-0.05078,-0.05078
04/10/2019,5204032.00444,0.00000,1321.08598,0.00000,0.99447,0.99447
04/09/2019,5152775.88258,0.00000,1321.08598,0.00000,-1.39613,-1.39613
04/08/2019,5225752.41552,0.00000,1321.08598,0.00000,0.69259,0.69259
04/05/2019,5189799.43099,0.00000,1321.08598,0.00000,0.65355,0.65355
04/04/2019,5156093.20610,0.00000,1321.08598,0.00000,0.69067,0.69067
04/03/2019,5120717.01504,0.00000,1321.08598,0.00000,0.64811,0.64811
04/02/2019,5087734.23378,0.00000,1321.08598,0.00000,-0.64975,-0.64975
04/01/2019,5121016.59960,-0.00021,1321.08598,0.00000,1.00272,1.00272
03/29/2019,5068920.47389,-0.00107,2564.49342,0.00000,0.28689,0.28689
03/28/2019,5052271.56497,0.00022,4705.22592,0.00000,0.43944,0.43944
03/27/2019,5031081.06649,0.00005,3770.50637,0.00000,-0.28164,-0.28164
03/26/2019,5045298.97773,0.00000,3772.84949,0.00000,1.03656,1.03656
03/25/2019,4993499.18098,0.00000,3772.84949,0.00000,0.12958,0.12958
03/22/2019,4987093.03490,-0.00066,3712.15634,0.00000,-2.12089,-2.12089
03/21/2019,5093816.53833,0.00005,5131.56363,0.00000,1.43765,1.43765
03/20/2019,5021276.28786,0.00000,5405.59321,0.00000,-0.42675,-0.42675
03/19/2019,5042822.03325,0.00000,5403.25009,0.00000,0.53734,0.53734
03/18/2019,5015840.93683,0.00000,5403.25009,0.00000,-0.14974,-0.14974
03/15/2019,5023370.98767,0.00023,5403.25009,0.00000,0.58505,0.58505
