Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_MMF
Folio Number:  9A1547000102
Download Date:  03/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/15/2019,3133357.00032,0.00000,0.00000,0.00000,0.71774,0.71774
03/14/2019,3110915.10278,0.00000,112.93130,0.00000,-0.42633,-0.42633
03/13/2019,3124235.13824,0.00000,112.93130,0.00000,0.75225,0.75225
03/12/2019,3100907.56731,0.00000,112.93130,0.00000,0.26925,0.26925
03/11/2019,3092580.50685,0.00000,112.93130,0.00000,1.31596,1.31596
03/08/2019,3052410.41229,0.00000,112.93130,0.00000,0.02616,0.02616
03/07/2019,3051612.03202,0.00000,112.93130,0.00000,-0.95392,-0.95392
03/06/2019,3081003.33279,0.00000,112.93130,0.00000,-1.21671,-1.21671
03/05/2019,3118953.44932,0.00000,112.93130,0.00000,-0.22068,-0.22068
03/04/2019,3125851.71183,0.00000,112.93130,0.00000,-0.37394,-0.37394
03/01/2019,3137584.66862,-0.00001,112.93130,0.00000,0.54950,0.54950
02/28/2019,3119920.02189,0.00000,630.22372,0.00000,-0.52848,-0.52848
02/27/2019,3136480.92244,0.00000,648.39472,0.00000,0.19014,0.19014
02/26/2019,3130527.36569,-0.00034,648.39472,0.00000,-0.51021,-0.51021
02/25/2019,3146502.66707,0.00000,730.60856,0.00000,0.36251,0.36251
02/22/2019,3135134.88935,0.00007,730.60856,0.00000,0.88297,0.88297
02/21/2019,3107237.55645,0.00000,1181.61659,0.00000,-0.50701,-0.50701
02/20/2019,3123190.79132,0.00001,1068.68529,0.00000,0.01009,0.01009
02/19/2019,3122755.42557,0.00000,1188.73844,0.00000,1.25689,1.25689
02/15/2019,3083978.22238,0.00000,1188.73844,0.00000,1.04324,1.04324
02/14/2019,3052124.85052,0.00000,1188.73844,0.00000,-0.15040,-0.15040
02/13/2019,3056806.19386,0.00000,1106.52460,0.00000,0.24751,0.24751
02/12/2019,3049256.31482,0.00000,1106.52460,0.00000,1.11041,1.11041
