Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_MMF
Folio Number:  9A1547000102
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,3234802.25818,-0.00001,0.00000,0.00000,0.17101,0.17101
08/29/2019,3229261.49369,0.00000,18.24957,0.00000,0.98789,0.98789
08/28/2019,3197671.76079,0.00000,18.24957,0.00000,0.52706,0.52706
08/27/2019,3180906.42713,0.00037,18.24957,0.00000,-0.10017,-0.10017
08/26/2019,3183984.56139,0.00000,129.48765,0.00000,0.57711,0.57711
08/23/2019,3165714.20540,-0.00007,129.48765,0.00000,-2.43915,-2.43915
08/22/2019,3244346.16812,0.00000,647.81347,0.00000,-0.16291,-0.16291
08/21/2019,3249641.25780,0.00009,647.81347,0.00000,1.04636,1.04636
08/20/2019,3215862.99235,0.00000,768.61143,0.00000,-0.40947,-0.40947
08/19/2019,3229088.15976,0.00000,768.61143,0.00000,0.95741,0.95741
08/16/2019,3198458.50597,0.00000,768.61143,0.00000,1.46979,1.46979
08/15/2019,3152117.63186,0.00000,768.61143,0.00000,0.17916,0.17916
08/14/2019,3146590.28543,0.00000,657.37335,0.00000,-2.72091,-2.72091
08/13/2019,3234619.41387,0.00000,657.37335,0.00000,1.05815,1.05815
08/12/2019,3200743.78441,0.00000,657.37335,0.00000,-1.58531,-1.58531
08/09/2019,3252313.50152,0.00000,657.37335,0.00000,-0.80025,-0.80025
08/08/2019,3278555.46268,0.00000,657.37335,0.00000,2.52428,2.52428
08/07/2019,3197835.25451,0.00000,639.12378,0.00000,0.36909,0.36909
08/06/2019,3186073.50337,0.00000,639.12378,0.00000,1.17018,1.17018
08/05/2019,3149335.47020,0.00000,518.32582,0.00000,-3.65706,-3.65706
08/02/2019,3268900.22485,0.00000,518.32582,0.00000,-0.77239,-0.77239
08/01/2019,3294867.62062,0.00000,0.00000,0.00000,-0.49360,-0.49360
07/31/2019,3311211.61136,-0.00060,0.00000,0.00000,-0.59984,-0.59984
07/30/2019,3330475.95628,0.00000,717.58198,0.00000,0.15997,0.15997
