Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_ENE
Folio Number:  9A1547000103
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,2515618.07899,0.00000,0.00000,0.00000,-0.54580,-0.54580
08/01/2019,2529423.55407,-0.00035,0.00000,0.00000,-1.05678,-1.05678
07/31/2019,2555868.74248,0.00002,570.85466,0.00000,-0.99888,-0.99888
07/30/2019,2581394.17042,0.00000,838.86555,0.00000,0.50124,0.50124
07/29/2019,2568515.62199,0.00000,838.86555,0.00000,-0.23887,-0.23887
07/26/2019,2574667.84172,0.00000,838.86555,0.00000,0.64116,0.64116
07/25/2019,2558259.99053,0.00000,838.86555,0.00000,-1.81141,-1.81141
07/24/2019,2605471.02137,0.00000,838.86555,0.00000,1.09177,1.09177
07/23/2019,2577323.32853,0.00000,838.86555,0.00000,0.84963,0.84963
07/22/2019,2555602.97083,0.00000,838.86555,0.00000,0.20348,0.20348
07/19/2019,2550411.61138,0.00000,838.86555,0.00000,-0.17257,-0.17257
07/18/2019,2554821.84120,-0.00018,838.86555,0.00000,0.66522,0.66522
07/17/2019,2537536.47840,0.00000,1235.79115,0.00000,-0.42761,-0.42761
07/16/2019,2548439.15580,0.00000,1235.79115,0.00000,-0.26208,-0.26208
07/15/2019,2555138.86137,-0.00002,1235.79115,0.00000,-0.01885,-0.01885
07/12/2019,2555312.43057,-0.00004,1544.06893,0.00000,0.90829,0.90829
07/11/2019,2532263.63919,0.00000,1578.22728,0.00000,-0.18248,-0.18248
07/10/2019,2536895.94703,0.00000,1578.22728,0.00000,0.20470,0.20470
07/09/2019,2531710.18279,0.00000,1578.22728,0.00000,0.11933,0.11933
07/08/2019,2528690.73801,0.00005,1578.22728,0.00000,-0.97155,-0.97155
07/05/2019,2553338.18841,0.00000,1754.85919,0.00000,-0.25962,-0.25962
07/03/2019,2559989.01652,0.00000,1754.85919,0.00000,0.28255,0.28255
07/02/2019,2552771.27465,0.00000,1754.85919,0.00000,-0.13138,-0.13138
07/01/2019,2556121.22435,-0.00005,1765.44446,0.00000,0.50350,0.50350
06/28/2019,2543121.04754,-0.00022,1951.09602,0.00000,0.94248,0.94248
06/27/2019,2519019.52925,0.00000,2289.70962,0.00000,0.78011,0.78011
06/26/2019,2501257.72920,0.00000,534.85043,0.00000,0.59115,0.59115
06/25/2019,2486555.20632,-0.00002,534.85043,0.00000,-0.97020,-0.97020
06/24/2019,2510666.08335,0.00000,790.05833,0.00000,0.18708,0.18708
06/21/2019,2505976.45428,0.00013,790.05833,0.00000,-0.32907,-0.32907
06/20/2019,2513835.84169,0.00010,1207.02907,0.00000,1.21990,1.21990
06/19/2019,2483157.31446,0.00000,1574.38421,0.00000,0.50252,0.50252
06/18/2019,2470733.52061,0.00000,1574.38421,0.00000,1.95827,1.95827
06/17/2019,2423248.96596,0.00034,1574.38421,0.00000,-0.47762,-0.47762
06/14/2019,2434998.21371,-0.00037,1462.19751,0.00000,-0.77455,-0.77455
06/13/2019,2453550.45168,0.00000,1928.77975,0.00000,1.35467,1.35467
06/12/2019,2420923.54079,0.00000,1736.58340,0.00000,-0.63588,-0.63588
06/11/2019,2436427.37377,0.00000,1736.58340,0.00000,-0.20922,-0.20922
06/10/2019,2441539.20026,0.00023,1736.58340,0.00000,1.06989,1.06989
06/07/2019,2415492.89038,0.00000,1919.12816,0.00000,0.60619,0.60619
06/06/2019,2400926.99590,0.00000,1919.12816,0.00000,0.78239,0.78239
06/05/2019,2382273.22408,0.00003,1919.12816,0.00000,-0.39705,-0.39705
06/04/2019,2391516.47983,0.00000,2180.01124,0.00000,3.31622,3.31622
06/03/2019,2314684.16122,0.00003,2180.01124,0.00000,0.77406,0.77406
05/31/2019,2296547.89293,0.00000,2520.16029,0.00000,-0.97666,-0.97666
05/30/2019,2319223.50932,-0.00001,2520.16029,0.00000,-0.15469,-0.15469
05/29/2019,2323700.21092,0.00000,1640.53772,0.00000,-0.44468,-0.44468
05/28/2019,2334086.62772,-0.00005,1640.53772,0.00000,-0.28534,-0.28534
05/24/2019,2340544.38145,0.00000,1866.56804,0.00000,0.43058,0.43058
05/23/2019,2330501.55797,0.00000,1866.56804,0.00000,-2.51013,-2.51013
05/22/2019,2390829.77396,0.00000,1591.34188,0.00000,-1.12728,-1.12728
05/21/2019,2418106.65466,0.00000,1591.34188,0.00000,1.70429,1.70429
05/20/2019,2377637.45475,0.00000,1512.97700,0.00000,-1.23408,-1.23408
05/17/2019,2407364.87086,0.00000,1512.97700,0.00000,-1.98240,-1.98240
05/16/2019,2456603.04226,0.00000,994.26349,0.00000,0.55170,0.55170
05/15/2019,2443270.55721,0.00010,842.50169,0.00000,0.16582,0.16582
05/14/2019,2438860.34619,1392.44552,1206.62864,0.00000,1.10369,1.10369
05/13/2019,2411681.13109,0.00000,364.12695,0.00000,-3.46239,-3.46239
05/10/2019,2498190.80848,0.00002,364.12695,0.00000,0.32728,0.32728
05/09/2019,2489856.74529,-0.00001,547.47548,0.00000,-0.49022,-0.49022
05/08/2019,2502021.28009,0.00000,651.62726,0.00000,0.13959,0.13959
05/07/2019,2498532.70273,0.00000,651.62726,0.00000,-0.84326,-0.84326
05/06/2019,2519786.47185,0.00000,651.62726,0.00000,-1.13814,-1.13814
05/03/2019,2548802.74444,0.00000,651.62726,0.00000,1.03297,1.03297
05/02/2019,2522737.00464,0.00000,651.62726,0.00000,-0.42887,-0.42887
05/01/2019,2533605.57317,-1392.44502,651.62726,0.00000,-0.76916,-0.76916
