Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_ENE
Folio Number:  9A1547000103
Download Date:  12/05/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/04/2018,2392594.70758,-0.00009,0.00000,0.00000,-3.09572,-3.09572
12/03/2018,2469028.87875,0.00008,0.00000,0.00000,2.35510,2.35510
11/30/2018,2412218.61739,0.00000,0.00000,0.00000,-0.31987,-0.31987
11/29/2018,2419959.27198,0.00000,0.00000,0.00000,-0.32798,-0.32798
11/28/2018,2427922.36348,0.00000,0.00000,0.00000,1.73571,1.73571
11/27/2018,2386499.76146,0.00000,0.00000,0.00000,-0.14119,-0.14119
11/26/2018,2389873.91344,0.00000,0.00000,0.00000,1.56188,1.56188
11/23/2018,2353121.00631,0.00000,0.00000,0.00000,-0.60517,-0.60517
11/21/2018,2367448.06216,0.00000,0.00000,0.00000,1.13999,1.13999
11/20/2018,2340763.66234,0.00000,0.00000,0.00000,-1.72815,-1.72815
11/19/2018,2381926.98155,0.00000,0.00000,0.00000,-2.14821,-2.14821
11/16/2018,2434219.16541,0.00000,0.00000,0.00000,-0.03438,-0.03438
