Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_ENE
Folio Number:  9A1547000103
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,2511860.79297,0.00000,0.00000,0.00000,0.40694,0.40694
08/29/2019,2501680.55783,0.00000,0.00000,0.00000,0.83784,0.83784
08/28/2019,2480894.53646,0.00000,0.00000,0.00000,0.53785,0.53785
08/27/2019,2467622.50350,0.00007,0.00000,0.00000,-0.18842,-0.18842
08/26/2019,2472054.21226,0.00000,226.45410,0.00000,0.76668,0.76668
08/23/2019,2453244.00130,0.00000,226.45410,0.00000,-2.54037,-2.54037
08/22/2019,2517195.93307,0.00000,226.45410,0.00000,-0.30769,-0.30769
08/21/2019,2524965.82239,0.00000,226.45410,0.00000,0.92459,0.92459
08/20/2019,2501832.00825,0.00000,226.45410,0.00000,0.12882,0.12882
08/19/2019,2498612.97499,0.00000,226.45410,0.00000,1.59174,1.59174
08/16/2019,2459687.51276,0.00000,0.00000,0.00000,2.21683,2.21683
08/15/2019,2406342.96665,0.00005,0.00000,0.00000,-0.30978,-0.30978
08/14/2019,2413443.55222,0.00000,377.01787,0.00000,-2.59523,-2.59523
08/13/2019,2477756.77977,1431.04910,377.01787,0.00000,0.94317,0.94317
08/12/2019,2453177.69132,0.00000,377.01787,0.00000,-1.79771,-1.79771
08/09/2019,2498093.03935,0.00000,377.01787,0.00000,-1.87117,-1.87117
08/08/2019,2545735.00763,0.00000,377.01787,0.00000,3.29837,3.29837
08/07/2019,2464436.32980,0.00000,377.01787,0.00000,0.79978,0.79978
08/06/2019,2444879.72589,0.00000,377.01787,0.00000,0.32798,0.32798
08/05/2019,2436886.09459,0.00000,377.01787,0.00000,-3.12926,-3.12926
08/02/2019,2515618.07899,0.00000,377.01787,0.00000,-0.54571,-0.54571
08/01/2019,2529423.55407,-1431.04945,377.01787,0.00000,-1.00094,-1.00094
07/31/2019,2555868.74248,0.00002,947.87253,0.00000,-0.99653,-0.99653
07/30/2019,2581394.17042,0.00000,1158.24684,0.00000,0.51367,0.51367
