Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_TCF
Folio Number:  9A1547000104
Download Date:  05/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/03/2019,2429817.22442,0.00000,0.00000,0.00000,0.03023,0.03023
05/02/2019,2429082.84797,0.00000,0.00000,0.00000,0.54991,0.54991
05/01/2019,2415798.18173,0.00065,0.00000,0.00000,0.02789,0.02789
04/30/2019,2413154.71188,0.00068,1969.96000,0.00000,-0.20118,-0.20118
04/29/2019,2417688.24506,0.00000,2304.90681,0.00000,-0.10511,-0.10511
04/26/2019,2420234.55654,0.00000,2304.90681,0.00000,-0.02896,-0.02896
04/25/2019,2420936.30690,0.00000,2304.90681,0.00000,-1.53786,-1.53786
04/24/2019,2458784.45251,0.00000,2304.90681,0.00000,-1.00611,-1.00611
04/23/2019,2483797.36250,0.00000,2304.90681,0.00000,0.51728,0.51728
04/22/2019,2471003.48900,0.00000,2304.90681,0.00000,0.64226,0.64226
04/18/2019,2455219.72955,0.00021,2304.90681,0.00000,-0.13789,-0.13789
04/17/2019,2458218.46669,0.00000,2699.52300,0.00000,-0.02850,-0.02850
04/16/2019,2458920.10367,0.00000,2699.52300,0.00000,0.79838,0.79838
04/15/2019,2441203.09608,0.00000,919.01052,0.00000,-0.55465,-0.55465
04/12/2019,2454823.86468,-0.00002,919.01052,0.00000,0.35717,0.35717
04/11/2019,2446058.53702,0.00000,944.25943,0.00000,-0.32162,-0.32162
04/10/2019,2453954.00752,0.00000,944.25943,0.00000,0.56728,0.56728
04/09/2019,2440106.45114,0.00000,944.25943,0.00000,-0.89158,-0.89158
04/08/2019,2462066.10141,0.00000,944.25943,0.00000,0.39279,0.39279
04/05/2019,2452429.57348,0.00000,944.25943,0.00000,0.74585,0.74585
04/04/2019,2434266.46621,0.00000,944.25943,0.00000,-0.07781,-0.07781
04/03/2019,2436162.71826,0.00000,944.25943,0.00000,1.51725,1.51725
04/02/2019,2399738.41855,0.00000,944.25943,0.00000,0.13261,0.13261
