Client Name:  Marketocracy Capital Management, LLC
Folio Name:  mpatterson3_TCF
Folio Number:  9A1547000104
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,2381663.96739,0.00002,0.00000,0.00000,0.37361,0.37361
08/29/2019,2372768.09511,0.00000,30.89237,0.00000,1.15304,1.15304
08/28/2019,2345720.64486,0.00000,30.89237,0.00000,0.08008,0.08008
08/27/2019,2343843.73693,0.00000,30.89237,0.00000,-0.38680,-0.38680
08/26/2019,2352944.99997,0.00000,30.89237,0.00000,0.64828,0.64828
08/23/2019,2337789.26533,0.00000,30.89237,0.00000,-2.77481,-2.77481
08/22/2019,2404510.79031,0.00000,30.89237,0.00000,-0.18273,-0.18273
08/21/2019,2408912.58109,0.00000,30.89237,0.00000,1.04458,1.04458
08/20/2019,2384009.46609,0.00000,30.89237,0.00000,-0.38110,-0.38110
08/19/2019,2393129.79250,0.00000,30.89237,0.00000,1.73620,1.73620
08/16/2019,2352288.75982,0.00000,30.89237,0.00000,2.26223,2.26223
08/15/2019,2300251.00703,0.00000,30.89237,0.00000,-0.07931,-0.07931
08/14/2019,2302076.83988,0.00000,30.89237,0.00000,-2.54865,-2.54865
08/13/2019,2362283.94629,0.00000,30.89237,0.00000,1.18633,1.18633
08/12/2019,2334587.60607,0.00000,30.89237,0.00000,-1.32496,-1.32496
08/09/2019,2365935.71079,0.00000,30.89237,0.00000,-1.26664,-1.26664
08/08/2019,2396288.45266,0.00000,30.89237,0.00000,3.23034,3.23034
08/07/2019,2321332.41375,0.00000,0.00000,0.00000,0.43235,0.43235
08/06/2019,2311339.34742,0.00000,0.00000,0.00000,0.94502,0.94502
08/05/2019,2289701.19043,0.00000,0.00000,0.00000,-3.51790,-3.51790
08/02/2019,2373187.57642,0.00005,0.00000,0.00000,-1.02546,-1.02546
08/01/2019,2397409.86599,0.00035,365.98207,0.00000,-1.35851,-1.35851
07/31/2019,2430242.11428,-0.00079,556.30464,0.00000,-1.29043,-1.29043
07/30/2019,2461589.85791,0.00000,986.38173,0.00000,-0.09366,-0.09366
